item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,543.902172199,,,,,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.10299031544,,,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,space,16.9726512355,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
4,training,save,look,stay,print,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,space,9.7775732861,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,space,6.90997168242,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,space,5.04843028491,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,p,14.8761114955,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
1,training,wait,bless,blush,sigh,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,space,5.06574758676,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
3,training,lick,ruin,chew,soothe,,,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,space,4.84712539269,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
2,training,like,thank,stare,yell,,,,1,0,1,0,0,2,2,1,,,,,,,,,,,,,space,6.54162193686,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
4,training,save,look,stay,print,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,space,4.66261309547,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,s,17.7777119699,space,5.61889252874,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,arm,grip,stab,grab,throw,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,space,9.45910743728,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,leg,tread,hop,pace,walk,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,,,space,11.1699504966,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
,arm,dig,grasp,brush,bash,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,,,space,11.3545931803,,,,,,,2018_Jun_20_1145,60.0144882516,sheb_replic_pilot_control,001,913,
