item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,168.127171889,,,,,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.30347383776,,,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
4,training,save,look,stay,print,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,space,8.26834983817,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,space,6.23896315097,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,space,5.13228177588,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,space,6.55787688228,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,4.37686489323,space,2.49922085393,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
,arm,bash,squeeze,carve,brush,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,0,0,0,,,,,space,14.1215621958,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
,leg,leap,trek,slide,wade,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,1,1,1,,,,,space,7.81606423767,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
,leg,wobble,limp,skip,jump,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,2,2,2,,,,,space,23.1943100211,,,,,,,2018_Jun_21_1348,59.1261119833,sheb_replic_pilot_control,001,914,
