item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4474.11479142,,,,,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.46369046843,,,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,space,42.9843521022,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
4,training,save,look,stay,print,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,space,28.8132742408,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,space,4.51216560442,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,space,4.76349089886,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,3.10337751047,space,1.39244717491,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,arm,dig,seize,grate,bind,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,0,0,0,,,,,space,8.97284573719,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,arm,claw,bash,skim,twine,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,1,1,1,,,,,space,5.55149633714,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,leg,flit,stroll,trudge,walk,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,2,2,2,,,,,space,4.26012002622,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
,leg,mount,trek,kick,prance,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,3,3,3,,,,,space,12.4607334725,,,,,,,2018_Jun_18_1053,59.6149561064,sheb_replic_pilot_control,001,908,
