item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,15.1767615047,,,,,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.23029403618,,,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,space,9.2414724607,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,space,10.6338516769,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,space,4.37747412332,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
4,training,save,look,stay,print,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,space,8.10150311326,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,4.54545788592,space,1.02329009655,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,seize,grip,pinch,rub,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,0,0,0,,,,,space,3.11865321557,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,cut,bind,dig,dunk,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,1,1,1,,,,,space,7.11122200505,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,claw,catch,punch,twine,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,2,2,2,,,,,space,4.69556968202,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,crawl,roll,creep,march,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,3,3,3,,,,,space,6.92674046513,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,stumble,walk,jump,trot,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,4,4,4,,,,,space,3.40480697541,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,sneak,dance,tiptoe,sprint,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,5,5,5,,,,,space,5.77013821309,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,grasp,chop,snatch,carve,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,6,6,6,,,,,space,3.12046281491,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,roam,kneel,slip,rush,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,7,7,7,,,,,space,5.30031091129,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,traipse,jog,step,kick,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,8,8,8,,,,,space,3.53899627294,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,climb,wade,stroll,flit,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,9,9,9,,,,,space,1.81169103897,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,lift,hack,switch,tug,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,10,10,10,,,,,space,4.67936389027,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,braid,toss,wipe,squeeze,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,11,11,11,,,,,space,5.29948947963,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,leg,skip,inch,bounce,pace,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,12,12,12,,,,,space,7.21194161711,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
,arm,slap,grate,whip,throw,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,13,13,13,,,,,space,0.201665226497,,,,,,2018_Jun_18_1457,59.3251418693,sheb_replic_pilot_control,001,909,
