word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
JUMP,hoppa,kliva,lyfta,3,kliva,lyfta,hoppa,Leg,leg,0,8,8,35,0,1,1,1,,,,,,,,,7,2.357,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
JUMP,hoppa,kliva,lyfta,3,kliva,lyfta,hoppa,,,0,8,8,35,,,,,,,,,,,,,,,3,1,1.91357494455,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,Arm,arm,0,9,9,91,0,0,0,0,,,,,,,,,1,2.64,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,Leg,leg,0,9,9,91,0,1,1,1,,,,,,,,,7,1.368,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,,,0,9,9,91,,,,,,,,,,,,,,,1,1,1.62732476773,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Arm,arm,0,10,10,100,0,0,0,0,,,,,,,,,1,3.564,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Leg,leg,0,10,10,100,0,1,1,1,,,,,,,,,7,1.135,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,,,0,10,10,100,,,,,,,,,,,,,,,2,0,5.87001214589,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SPRINT,spurta,springa,löpa,2,löpa,spurta,springa,Arm,arm,0,11,11,79,0,0,0,0,,,,,,,,,1,3.931,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SPRINT,spurta,springa,löpa,2,löpa,spurta,springa,Leg,leg,0,11,11,79,0,1,1,1,,,,,,,,,7,2.24,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
SPRINT,spurta,springa,löpa,2,löpa,spurta,springa,,,0,11,11,79,,,,,,,,,,,,,,,2,1,7.79900217235,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,Arm,arm,0,12,12,20,0,0,0,0,,,,,,,,,7,5.776,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,Leg,leg,0,12,12,20,0,1,1,1,,,,,,,,,1,3.801,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,,,0,12,12,20,,,,,,,,,,,,,,,2,1,3.95829029854,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,kasta sig fram,ta sig fram,Arm,arm,0,13,13,101,0,0,0,0,,,,,,,,,1,3.042,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
TRUDGE,släpa sig fram,kasta sig fram,ta sig fram,1,släpa sig fram,kasta sig fram,ta sig fram,Leg,leg,0,13,13,101,0,1,1,1,,,,,,,,,7,1.62,,,,,,2018_Jun_11_1400,59.1284337224,verb_norming,001,902,
