word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,15.9652903279,,,,,,,,,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
,,,,,,,,,,,,,,,,,,,,space,45.7512558446,,,,,,,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
,,,,,,,,,,,,,,,,,,,,,,space,11.9076506757,,,,,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
,,,,,,,,,,,,,,,,,,,,,,,,space,22.3223204105,,,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,Arm,arm,0,0,0,20,0,0,0,0,,,,,,,,,7,78.455,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,Leg,leg,0,0,0,20,0,1,1,1,,,,,,,,,1,9.555,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,,,0,0,0,20,,,,,,,,,,,,,,,2,1,15.2448784377,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,Arm,arm,0,1,1,27,0,0,0,0,,,,,,,,,7,12.216,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,Leg,leg,0,1,1,27,0,1,1,1,,,,,,,,,1,4.775,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,,,0,1,1,27,,,,,,,,,,,,,,,2,1,5.71929018406,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,Arm,arm,0,2,2,47,0,0,0,0,,,,,,,,,7,9.351,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,Leg,leg,0,2,2,47,0,1,1,1,,,,,,,,,1,6.1,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PEEL,skala,rensa,plocka,2,plocka,skala,rensa,,,0,2,2,47,,,,,,,,,,,,,,,2,1,3.01880783859,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,Arm,arm,0,3,3,53,0,0,0,0,,,,,,,,,1,30.665,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,Leg,leg,0,3,3,53,0,1,1,1,,,,,,,,,7,11.349,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
PRANCE,kråma sig,promenera,traska,2,promenera,kråma sig,traska,,,0,3,3,53,,,,,,,,,,,,,,,3,0,25.2569848825,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
JOG,jogga,spurta,rusa,3,spurta,rusa,jogga,Arm,arm,0,4,4,34,0,0,0,0,,,,,,,,,1,7.904,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
JOG,jogga,spurta,rusa,3,spurta,rusa,jogga,Leg,leg,0,4,4,34,0,1,1,1,,,,,,,,,7,4.606,,,,,,2018_Jun_08_1140,59.1420432906,verb_norming,001,900,
