word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
HACK,hacka,skära,kåpa,2,kåpa,hacka,skära,Arm,arm,0,8,8,30,0,0,0,0,,,,,,,,,,,,,6,15.597,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
HACK,hacka,skära,kåpa,2,kåpa,hacka,skära,Leg,leg,0,8,8,30,0,1,1,1,,,,,,,,,,,,,1,1.948,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
HACK,hacka,skära,kåpa,2,kåpa,hacka,skära,,,0,8,8,30,,,,,,,,,,,,,,,,,,,2,1,9.74474317021,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Arm,arm,0,9,9,88,0,0,0,0,,,,,,,,,,,,,1,5.199,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Leg,leg,0,9,9,88,0,1,1,1,,,,,,,,,,,,,7,2.422,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,,,0,9,9,88,,,,,,,,,,,,,,,,,,,1,1,3.7575413944,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
RUSH,rusa,springa,löpa,1,rusa,löpa,springa,Arm,arm,0,10,10,62,0,0,0,0,,,,,,,,,,,,,2,5.669,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
RUSH,rusa,springa,löpa,1,rusa,löpa,springa,Leg,leg,0,10,10,62,0,1,1,1,,,,,,,,,,,,,6,4.286,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
RUSH,rusa,springa,löpa,1,rusa,löpa,springa,,,0,10,10,62,,,,,,,,,,,,,,,,,,,1,1,7.36335719575,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
JOG,jogga,spurta,rusa,2,rusa,jogga,spurta,Arm,arm,0,11,11,34,0,0,0,0,,,,,,,,,,,,,3,11.875,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
JOG,jogga,spurta,rusa,2,rusa,jogga,spurta,Leg,leg,0,11,11,34,0,1,1,1,,,,,,,,,,,,,7,7.012,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
JOG,jogga,spurta,rusa,2,rusa,jogga,spurta,,,0,11,11,34,,,,,,,,,,,,,,,,,,,2,1,6.12231982482,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
