word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,166.721081955,,,,,,,,,,,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
,,,,,,,,,,,,,,,,,,,,space,5.29995689344,,,,,,,,,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
,,,,,,,,,,,,,,,,,,,,,,space,14.8426440484,,,,,,,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
,,,,,,,,,,,,,,,,,,,,,,,,space,12.4111256029,,,,,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.93723075683,,,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.31474943865,,,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
GRATE,riva,hugga,rispa,1,riva,rispa,hugga,Arm,arm,0,0,0,28,0,0,0,0,,,,,,,,,,,,,7,13.266,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
GRATE,riva,hugga,rispa,1,riva,rispa,hugga,Leg,leg,0,0,0,28,0,1,1,1,,,,,,,,,,,,,1,5.563,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
GRATE,riva,hugga,rispa,1,riva,rispa,hugga,,,0,0,0,28,,,,,,,,,,,,,,,,,,,1,1,3.67330676346,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
TWINE,tvinna,binda,knyta,3,binda,knyta,tvinna,Arm,arm,0,1,1,103,0,0,0,0,,,,,,,,,,,,,6,13.576,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
TWINE,tvinna,binda,knyta,3,binda,knyta,tvinna,Leg,leg,0,1,1,103,0,1,1,1,,,,,,,,,,,,,2,5.211,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
TWINE,tvinna,binda,knyta,3,binda,knyta,tvinna,,,0,1,1,103,,,,,,,,,,,,,,,,,,,2,0,25.2911735851,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
CLIMB,klättra,kliva,krypa,1,klättra,krypa,kliva,Arm,arm,0,2,2,12,0,0,0,0,,,,,,,,,,,,,7,8.928,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
CLIMB,klättra,kliva,krypa,1,klättra,krypa,kliva,Leg,leg,0,2,2,12,0,1,1,1,,,,,,,,,,,,,7,2.56,,,,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
CLIMB,klättra,kliva,krypa,1,klättra,krypa,kliva,,,0,2,2,12,,,,,,,,,,,,,,,,,,,1,1,6.52558913952,2018_Jun_20_1058,59.6401472308,verb_norming,001,912,
