word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,35.6055242052,,,,,,,,,,,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
,,,,,,,,,,,,,,,,,,,,space,23.1112154658,,,,,,,,,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
,,,,,,,,,,,,,,,,,,,,,,space,13.6353997672,,,,,,,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
,,,,,,,,,,,,,,,,,,,,,,,,space,9.52631319001,,,,,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,72.016380352,,,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
RUB,gnugga,riva,klappa,3,klappa,riva,gnugga,Leg,leg,0,0,0,60,0,0,0,0,,,,,,,,,,,1,22.541,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
RUB,gnugga,riva,klappa,3,klappa,riva,gnugga,Arm,arm,0,0,0,60,0,1,1,1,,,,,,,,,,,7,12.323,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
RUB,gnugga,riva,klappa,3,klappa,riva,gnugga,,,0,0,0,60,,,,,,,,,,,,,,,,,3,1,4.96465839398,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLUTCH,gripa tag i,sätta ihop,dra ut,2,dra ut,gripa tag i,sätta ihop,Leg,leg,0,1,1,13,0,0,0,0,,,,,,,,,,,3,17.216,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLUTCH,gripa tag i,sätta ihop,dra ut,2,dra ut,gripa tag i,sätta ihop,Arm,arm,0,1,1,13,0,1,1,1,,,,,,,,,,,6,7.459,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLUTCH,gripa tag i,sätta ihop,dra ut,2,dra ut,gripa tag i,sätta ihop,,,0,1,1,13,,,,,,,,,,,,,,,,,2,1,5.48440632535,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
JOG,jogga,spurta,rusa,1,jogga,rusa,spurta,Leg,leg,0,2,2,34,0,0,0,0,,,,,,,,,,,7,4.952,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
JOG,jogga,spurta,rusa,1,jogga,rusa,spurta,Arm,arm,0,2,2,34,0,1,1,1,,,,,,,,,,,1,2.092,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
JOG,jogga,spurta,rusa,1,jogga,rusa,spurta,,,0,2,2,34,,,,,,,,,,,,,,,,,1,1,1.92890902756,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CREEP,krypa,knäböja,klättra,1,krypa,klättra,knäböja,Leg,leg,0,3,3,15,0,0,0,0,,,,,,,,,,,7,4.991,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CREEP,krypa,knäböja,klättra,1,krypa,klättra,knäböja,Arm,arm,0,3,3,15,0,1,1,1,,,,,,,,,,,1,4.373,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CREEP,krypa,knäböja,klättra,1,krypa,klättra,knäböja,,,0,3,3,15,,,,,,,,,,,,,,,,,1,1,2.1133242035,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
HIKE,vandra,flanera,lunka,2,lunka,vandra,flanera,Leg,leg,0,4,4,31,0,0,0,0,,,,,,,,,,,7,3.649,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
HIKE,vandra,flanera,lunka,2,lunka,vandra,flanera,Arm,arm,0,4,4,31,0,1,1,1,,,,,,,,,,,1,2.829,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
HIKE,vandra,flanera,lunka,2,lunka,vandra,flanera,,,0,4,4,31,,,,,,,,,,,,,,,,,2,1,2.68372451201,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
DUNK,dunka,dumpa,dunsa,3,dumpa,dunsa,dunka,Leg,leg,0,5,5,20,0,0,0,0,,,,,,,,,,,7,7.116,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
DUNK,dunka,dumpa,dunsa,3,dumpa,dunsa,dunka,Arm,arm,0,5,5,20,0,1,1,1,,,,,,,,,,,7,5.813,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
DUNK,dunka,dumpa,dunsa,3,dumpa,dunsa,dunka,,,0,5,5,20,,,,,,,,,,,,,,,,,3,1,2.8178492377,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLICK,klicka,klappa,klämma,2,klappa,klicka,klämma,Leg,leg,0,6,6,11,0,0,0,0,,,,,,,,,,,1,4.454,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLICK,klicka,klappa,klämma,2,klappa,klicka,klämma,Arm,arm,0,6,6,11,0,1,1,1,,,,,,,,,,,7,3.602,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CLICK,klicka,klappa,klämma,2,klappa,klicka,klämma,,,0,6,6,11,,,,,,,,,,,,,,,,,2,1,3.23733749839,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
SKIP,hoppa,kliva,strutta,1,hoppa,kliva,strutta,Leg,leg,0,7,7,72,0,0,0,0,,,,,,,,,,,7,6.064,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
SKIP,hoppa,kliva,strutta,1,hoppa,kliva,strutta,Arm,arm,0,7,7,72,0,1,1,1,,,,,,,,,,,1,4.641,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
SKIP,hoppa,kliva,strutta,1,hoppa,kliva,strutta,,,0,7,7,72,,,,,,,,,,,,,,,,,1,1,13.2497512741,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
MARCH,marschera,trava,traska,1,marschera,traska,trava,Leg,leg,0,8,8,42,0,0,0,0,,,,,,,,,,,7,2.925,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
MARCH,marschera,trava,traska,1,marschera,traska,trava,Arm,arm,0,8,8,42,0,1,1,1,,,,,,,,,,,3,3.634,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
MARCH,marschera,trava,traska,1,marschera,traska,trava,,,0,8,8,42,,,,,,,,,,,,,,,,,1,1,1.69434287751,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
WASH,tvätta,skura,sopa,2,skura,tvätta,sopa,Leg,leg,0,9,9,107,0,0,0,0,,,,,,,,,,,2,8.614,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
WASH,tvätta,skura,sopa,2,skura,tvätta,sopa,Arm,arm,0,9,9,107,0,1,1,1,,,,,,,,,,,7,2.378,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
WASH,tvätta,skura,sopa,2,skura,tvätta,sopa,,,0,9,9,107,,,,,,,,,,,,,,,,,2,1,2.96901297485,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,Leg,leg,0,10,10,27,0,0,0,0,,,,,,,,,,,1,4.319,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,Arm,arm,0,10,10,27,0,1,1,1,,,,,,,,,,,7,2.225,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
GRASP,gripa,klämma,omfamna,2,omfamna,gripa,klämma,,,0,10,10,27,,,,,,,,,,,,,,,,,1,0,5.92053927104,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Leg,leg,0,11,11,94,0,0,0,0,,,,,,,,,,,1,4.101,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Arm,arm,0,11,11,94,0,1,1,1,,,,,,,,,,,7,1.606,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,,,0,11,11,94,,,,,,,,,,,,,,,,,2,1,2.58288718076,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,Leg,leg,0,12,12,58,0,0,0,0,,,,,,,,,,,7,6.046,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,Arm,arm,0,12,12,58,0,1,1,1,,,,,,,,,,,1,1.521,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,,,0,12,12,58,,,,,,,,,,,,,,,,,2,1,12.8638503014,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,Leg,leg,0,13,13,5,0,0,0,0,,,,,,,,,,,1,5.306,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,Arm,arm,0,13,13,5,0,1,1,1,,,,,,,,,,,7,1.705,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,,,0,13,13,5,,,,,,,,,,,,,,,,,1,1,5.24972559148,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,Leg,leg,0,14,14,91,0,0,0,0,,,,,,,,,,,7,3.159,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,Arm,arm,0,14,14,91,0,1,1,1,,,,,,,,,,,1,1.871,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
STUMBLE,snubbla,glida,svaja,1,snubbla,glida,svaja,,,0,14,14,91,,,,,,,,,,,,,,,,,1,1,2.07999097554,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Leg,leg,0,15,15,93,0,0,0,0,,,,,,,,,,,5,7.556,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Arm,arm,0,15,15,93,0,1,1,1,,,,,,,,,,,5,4.037,,,,,,2018_Jun_12_1246,59.6277064433,verb_norming,001,903,
