item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.55609162858,,,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,space,25.4245512666,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,space,8.26874024331,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,space,4.73004559145,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
4,training,save,look,stay,print,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,space,4.86347140627,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,s,7.53079013195,space,4.32741725758,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,glide,pace,tread,slither,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,0,0,0,,,space,21.6191108739,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,wander,wobble,tiptoe,rush,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,1,1,1,,,space,8.7045627405,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,poke,push,cut,snatch,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,2,2,2,,,space,16.8046726989,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,strut,flit,sway,stray,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,3,3,3,,,space,20.1259314165,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,skate,roam,step,mount,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,4,4,4,,,space,11.7738191522,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,grasp,peel,scrub,brush,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,5,5,5,,,space,12.81456698,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,twine,shake,bind,skim,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,6,6,6,,,space,4.81399446929,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,braid,chop,wipe,dunk,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,7,7,7,,,space,13.232854608,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,skip,creep,leap,slide,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,8,8,8,,,space,16.7028531105,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,switch,knock,grip,grate,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,9,9,9,,,space,8.8053977211,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,whip,seize,fold,squeeze,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,10,10,10,,,space,12.5126396853,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,trudge,sneak,prance,inch,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,11,11,11,,,space,26.0464271025,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,wade,stagger,hop,stomp,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,12,12,12,,,space,6.34014129833,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,clean,file,hack,scrape,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,13,13,13,,,space,11.3721359154,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,roll,traipse,march,run,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,14,14,14,,,space,7.32955992536,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,arm,nip,scratch,scoop,dig,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,15,15,15,,,space,8.97413152416,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,trek,trot,stride,kick,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,16,16,16,,,space,11.7398561098,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
,leg,flee,trip,stroll,sprint,0.2,0.4,0.6,0,0,0,0,,,,,0,0,0,1,0,17,17,17,,,space,6.03820807702,,,,,,,2018_Jun_13_1257,59.1416947853,sheb_replic_pilot_control,001,905,
