item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,13438.1583745,,,,,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.37560891,,,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,space,4.47821989864,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,space,4.3271904659,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,space,4.69637690407,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
4,training,save,look,stay,print,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,space,4.94779879706,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,3.02019789352,space,2.2475790778,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,tiptoe,sway,trip,slip,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,space,5.43403819188,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,wipe,lift,punch,catch,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,space,4.99829827215,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,skim,grate,braid,dig,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,space,4.49560304659,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,polish,bash,seize,carve,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,space,7.74845404327,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,skate,wade,hike,kneel,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,space,5.97173875336,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,sneak,flee,stamp,stomp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,space,155.701616424,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,poke,clean,stab,whip,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,space,3.58931621517,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,slither,slide,strut,roll,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,space,4.76332667841,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,snatch,scoop,scrub,shake,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,space,7.36278293152,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,run,climb,skip,jump,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,space,17.0899209271,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,rush,prance,leap,kick,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,space,4.02527660486,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,slap,stir,clutch,bind,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,space,8.53655119388,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,throw,pat,file,grasp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,space,5.09909808819,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,brush,chop,pinch,wrap,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,space,8.95587558382,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,glide,flit,ramble,plod,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,space,4.46086677885,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,stray,wobble,wander,tread,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,space,5.24962968553,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,clap,grab,wash,fold,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,space,3.5387918483,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,trek,hop,sprint,roam,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,space,4.15949026396,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,switch,scrape,dunk,hack,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,space,4.31055367594,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,toss,twine,cut,scratch,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,space,2.19776195328,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,walk,trudge,stride,dance,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,space,4.09237335917,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,scuff,crawl,pace,limp,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,space,5.76948363801,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,march,step,traipse,creep,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,space,5.81979662239,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,claw,tug,rub,pull,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,space,3.92462969541,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,mount,stroll,stumble,inch,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,space,4.44479262192,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,jog,stagger,bounce,trot,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,space,4.14270175274,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,peel,delve,click,grip,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,space,4.8303432259,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,nip,knock,push,squeeze,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,space,3.9753776931,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,,,,,,0.1,0.4,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,catch,punch,grasp,snatch,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,space,6.05408270468,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,wrap,grip,tug,shake,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,1,1,1,,,,,space,5.87010170461,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,prance,roll,glide,leap,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,2,2,2,,,,,space,4.62910630248,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,skate,wade,sway,wobble,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,3,3,3,,,,,space,5.76955475735,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,knock,clap,dunk,polish,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,4,4,4,,,,,space,6.07098421664,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,brush,fold,file,scratch,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,5,5,5,,,,,space,4.71296667624,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,carve,poke,lift,stir,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,6,6,6,,,,,space,6.00402061355,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,tread,kneel,flee,mount,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,7,7,7,,,,,space,5.24953248909,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,switch,delve,pat,stab,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,8,8,8,,,,,space,6.07134692529,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,rush,crawl,step,stomp,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,9,9,9,,,,,space,6.18884437784,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,slip,pace,wander,stride,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,10,10,10,,,,,space,6.28942569945,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,scrub,hack,clean,dig,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,11,11,11,,,,,space,5.14893378276,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,braid,bash,scoop,wash,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,12,12,12,,,,,space,4.93095497079,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,hop,stroll,stumble,stagger,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,13,13,13,,,,,space,5.92183154435,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,tiptoe,kick,slither,walk,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,14,14,14,,,,,space,5.7694990472,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,squeeze,skim,claw,seize,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,15,15,15,,,,,space,11.4379205178,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,grate,cut,click,nip,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,16,16,16,,,,,space,6.8089394644,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,trek,jog,skip,plod,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,17,17,17,,,,,space,3.0527440806,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,twine,pinch,throw,peel,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,18,18,18,,,,,space,7.22901692917,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,trip,dance,traipse,run,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,19,19,19,,,,,space,5.26640239246,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,trot,roam,limp,bounce,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,20,20,20,,,,,space,5.63575991216,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,grab,push,chop,scrape,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,21,21,21,,,,,space,6.79239117851,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,stamp,sneak,climb,trudge,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,22,22,22,,,,,space,5.9544452948,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,arm,whip,toss,clutch,wipe,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,23,23,23,,,,,space,5.45090532949,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
,leg,creep,march,slide,scuff,0.2,0.4,0.6,0,0,0,0,,,,,0,1,1,1,0,24,24,24,,,,,space,6.97684354179,,,,,,2018_Jun_26_1256,59.5823514595,sheb_replic_pilot_control,001,916,
