word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,46.656834208,,,,,,,,,,,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
,,,,,,,,,,,,,,,,,,,,space,9.71077589051,,,,,,,,,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
,,,,,,,,,,,,,,,,,,,,,,space,20.4274966149,,,,,,,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
,,,,,,,,,,,,,,,,,,,,,,,,space,29.215309982,,,,,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.63117928261,,,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,44.5107412788,,,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
CLEAN,rengöra,rensa,plocka,3,rensa,plocka,rengöra,Leg,leg,0,0,0,10,0,0,0,0,,,,,,,,,,,,,4,39.158,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
CLEAN,rengöra,rensa,plocka,3,rensa,plocka,rengöra,Arm,arm,0,0,0,10,0,1,1,1,,,,,,,,,,,,,4,2.964,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
CLEAN,rengöra,rensa,plocka,3,rensa,plocka,rengöra,,,0,0,0,10,,,,,,,,,,,,,,,,,,,3,1,6.03794246953,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PEEL,skala,rensa,plocka,1,skala,plocka,rensa,Leg,leg,0,1,1,47,0,0,0,0,,,,,,,,,,,,,1,7.221,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PEEL,skala,rensa,plocka,1,skala,plocka,rensa,Arm,arm,0,1,1,47,0,1,1,1,,,,,,,,,,,,,7,3.484,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PEEL,skala,rensa,plocka,1,skala,plocka,rensa,,,0,1,1,47,,,,,,,,,,,,,,,,,,,1,1,3.74052732249,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PINCH,nypa,plocka,pensla,3,plocka,pensla,nypa,Leg,leg,0,2,2,48,0,0,0,0,,,,,,,,,,,,,1,7.925,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PINCH,nypa,plocka,pensla,3,plocka,pensla,nypa,Arm,arm,0,2,2,48,0,1,1,1,,,,,,,,,,,,,7,2.813,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
PINCH,nypa,plocka,pensla,3,plocka,pensla,nypa,,,0,2,2,48,,,,,,,,,,,,,,,,,,,3,1,3.58943940525,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,Leg,leg,0,3,3,17,0,0,0,0,,,,,,,,,,,,,7,3.311,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,Arm,arm,0,3,3,17,0,1,1,1,,,,,,,,,,,,,1,6.335,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
DANCE,dansa,snurra,svänga,1,dansa,svänga,snurra,,,0,3,3,17,,,,,,,,,,,,,,,,,,,1,1,3.7399939232,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SWAY,vingla,tassa,ramla,3,ramla,tassa,vingla,Leg,leg,0,4,4,92,0,0,0,0,,,,,,,,,,,,,7,5.259,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SWAY,vingla,tassa,ramla,3,ramla,tassa,vingla,Arm,arm,0,4,4,92,0,1,1,1,,,,,,,,,,,,,1,3.517,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SWAY,vingla,tassa,ramla,3,ramla,tassa,vingla,,,0,4,4,92,,,,,,,,,,,,,,,,,,,3,1,3.38799859499,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
JOG,jogga,spurta,rusa,1,jogga,spurta,rusa,Leg,leg,0,5,5,34,0,0,0,0,,,,,,,,,,,,,7,2.588,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
JOG,jogga,spurta,rusa,1,jogga,spurta,rusa,Arm,arm,0,5,5,34,0,1,1,1,,,,,,,,,,,,,1,2.93,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
JOG,jogga,spurta,rusa,1,jogga,spurta,rusa,,,0,5,5,34,,,,,,,,,,,,,,,,,,,1,1,3.06950074221,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Leg,leg,0,6,6,102,0,0,0,0,,,,,,,,,,,,,1,3.631,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Arm,arm,0,6,6,102,0,1,1,1,,,,,,,,,,,,,7,1.94,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,,,0,6,6,102,,,,,,,,,,,,,,,,,,,3,1,3.28739474748,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SCRAPE,skrapa,rispa,klösa,3,klösa,rispa,skrapa,Leg,leg,0,7,7,64,0,0,0,0,,,,,,,,,,,,,1,4.084,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SCRAPE,skrapa,rispa,klösa,3,klösa,rispa,skrapa,Arm,arm,0,7,7,64,0,1,1,1,,,,,,,,,,,,,7,1.806,,,,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
SCRAPE,skrapa,rispa,klösa,3,klösa,rispa,skrapa,,,0,7,7,64,,,,,,,,,,,,,,,,,,,1,0,6.54101623233,,,2018_Jun_20_1258,59.6275014251,verb_norming,001,913,
