word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,19.6388446151,,,,,,,,,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
,,,,,,,,,,,,,,,,,,,,space,86.6554604052,,,,,,,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
,,,,,,,,,,,,,,,,,,,,,,space,20.1924494442,,,,,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
,,,,,,,,,,,,,,,,,,,,,,,,space,4.91419797816,,,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Leg,leg,0,0,0,36,0,0,0,0,,,,,,,,,7,15.247,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Arm,arm,0,0,0,36,0,1,1,1,,,,,,,,,1,2.679,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,,,0,0,0,36,,,,,,,,,,,,,,,2,0,2.24739210246,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
SCRUB,skrubba,sopa,skrapa,1,skrubba,sopa,skrapa,Leg,leg,0,1,1,66,0,0,0,0,,,,,,,,,2,39.687,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
SCRUB,skrubba,sopa,skrapa,1,skrubba,sopa,skrapa,Arm,arm,0,1,1,66,0,1,1,1,,,,,,,,,7,3.182,,,,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
SCRUB,skrubba,sopa,skrapa,1,skrubba,sopa,skrapa,,,0,1,1,66,,,,,,,,,,,,,,,1,1,6.33987181179,,,2018_Jun_08_1550,59.56797925,verb_norming,001,901,
