item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,leg,mount,traipse,wobble,trek,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,9,9,9,,,space,5.70325638511,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,limp,stray,trudge,pace,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,10,10,10,,,space,10.8349389127,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,claw,catch,grasp,shake,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,11,11,11,,,space,9.64354242609,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,punch,cut,seize,bash,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,12,12,12,,,space,11.0860473827,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,crawl,stamp,stride,wander,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,13,13,13,,,space,9.02321643199,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,jump,glide,stumble,stroll,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,14,14,14,,,space,8.26848760513,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,wash,lift,clean,snatch,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,15,15,15,,,space,5.33335414225,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,hop,sway,plod,sneak,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,16,16,16,,,space,4.51159754813,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,hack,grab,braid,grate,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,17,17,17,,,space,22.5237533811,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,ramble,stagger,dance,jog,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,18,18,18,,,space,5.14895853994,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,skim,wrap,pull,brush,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,19,19,19,,,space,8.36908713906,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,scratch,poke,push,pinch,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,20,20,20,,,space,7.39646364274,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,tug,stir,rub,slap,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,21,21,21,,,space,12.494378431,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,trot,slip,walk,wade,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,22,22,22,,,space,3.89110244863,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,march,roam,rush,strut,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,23,23,23,,,space,9.52617459105,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,leap,scuff,stomp,flit,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,24,24,24,,,space,8.73785661285,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,wipe,throw,squeeze,carve,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,25,25,25,,,space,11.0360676516,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,slide,step,sprint,skip,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,26,26,26,,,space,4.20964920114,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,fold,dig,twine,polish,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,0,27,27,27,,,space,4.86484923148,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.3,0.4,0.7,2,0,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,pinch,clutch,click,knock,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,0,0,0,,,space,9.05659064563,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,bash,scratch,grip,squeeze,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,1,1,1,,,space,8.35227537628,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stagger,ramble,trot,stride,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,2,2,2,,,space,10.2301125341,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,punch,stir,dig,seize,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,3,3,3,,,space,3.94135480287,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,pace,kneel,roll,step,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,4,4,4,,,space,3.33824318462,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grate,stab,scrape,grab,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,5,5,5,,,space,6.13820217261,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stumble,glide,walk,tread,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,6,6,6,,,space,8.11753575512,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,polish,slap,rub,clean,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,7,7,7,,,space,4.86380773191,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,shake,pat,toss,poke,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,8,8,8,,,space,6.25585764487,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,dunk,clap,file,skim,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,9,9,9,,,space,5.51791371358,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,run,trudge,climb,slip,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,10,10,10,,,space,13.5175150516,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,strut,sneak,trek,crawl,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,11,11,11,,,space,10.8014643421,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,bounce,jump,skate,hop,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,12,12,12,,,space,11.3860174337,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,carve,snatch,tug,switch,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,13,13,13,,,space,4.79835999377,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,dance,stamp,prance,march,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,14,14,14,,,space,13.1654676515,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,wade,sway,mount,slither,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,15,15,15,,,space,9.77764063207,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grasp,whip,push,delve,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,16,16,16,,,space,5.93704696152,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,claw,twine,pull,wrap,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,17,17,17,,,space,6.08837139653,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,inch,stomp,roam,stray,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,18,18,18,,,space,46.6737352458,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,peel,braid,brush,cut,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,19,19,19,,,space,3.53900447497,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,wash,scoop,scrub,catch,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,20,20,20,,,space,10.6162062232,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,rush,leap,kick,wobble,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,21,21,21,,,space,7.59900567609,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,hack,chop,bind,fold,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,22,22,22,,,space,4.07572563203,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,traipse,limp,stroll,tiptoe,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,23,23,23,,,space,11.2871591321,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,throw,lift,wipe,nip,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,24,24,24,,,space,4.19298639334,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,sprint,jog,skip,trip,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,25,25,25,,,space,6.52392999353,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,scuff,flit,creep,slide,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,26,26,26,,,space,8.0168066264,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,hike,wander,flee,plod,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,0,27,27,27,,,space,4.51151497096,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.25,0.4,0.65,2,0,2,0,,,,,0,4,4,2,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,rub,wrap,skim,slap,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,0,0,0,,,space,7.53059543273,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,twine,whip,nip,snatch,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,1,1,1,,,space,4.76322163158,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,slide,traipse,tiptoe,sprint,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,2,2,2,,,space,8.78839778962,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,punch,cut,clap,braid,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,3,3,3,,,space,8.5868885635,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,bounce,skip,sway,wade,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,4,4,4,,,space,5.01487732352,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,leap,stomp,climb,run,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,5,5,5,,,space,7.24531068375,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,bind,delve,chop,squeeze,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,6,6,6,,,space,5.29992303334,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,stray,rush,limp,stumble,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,7,7,7,,,space,13.9208511691,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,file,scrub,pull,hack,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,8,8,8,,,space,5.75304923101,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,wander,flit,step,sneak,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,9,9,9,,,space,5.80344382343,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,jog,tread,trek,roll,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,10,10,10,,,space,9.52647645207,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,throw,catch,lift,dig,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,11,11,11,,,space,4.29367798698,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,roam,hike,creep,kick,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,12,12,12,,,space,8.06712417314,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,push,wash,dunk,scrape,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,13,13,13,,,space,4.84708289246,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,trudge,stroll,kneel,slip,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,14,14,14,,,space,12.1928334873,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,poke,fold,click,stir,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,15,15,15,,,space,18.9855083,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,pinch,clean,switch,grip,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,16,16,16,,,space,4.36077055164,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,knock,peel,shake,grasp,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,17,17,17,,,space,5.16609310437,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,trot,stamp,prance,jump,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,18,18,18,,,space,8.63902438832,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,crawl,strut,slither,wobble,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,19,19,19,,,space,10.7504885486,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,seize,bash,wipe,brush,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,20,20,20,,,space,5.11619476516,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,glide,plod,stride,stagger,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,21,21,21,,,space,12.9809965839,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,claw,carve,tug,scoop,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,22,22,22,,,space,3.97510594769,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,grab,pat,grate,polish,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,23,23,23,,,space,14.8758154001,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,arm,toss,stab,scratch,clutch,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,24,24,24,,,space,9.7944618774,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,inch,flee,mount,pace,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,25,25,25,,,space,5.68617792574,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,scuff,ramble,dance,skate,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,26,26,26,,,space,8.08385928535,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,leg,trip,march,hop,walk,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,0,27,27,27,,,space,4.00858604975,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,0.4,0.4,0.8,2,0,2,0,,,,,0,5,5,5,,,,,,,,,,,,,,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,None,2018_Jun_08_1031,59.5660165545,sheb_replic_pilot_control,001,900,
