item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,date,frameRate,expName,session,participant,
,leg,crawl,plod,flee,slip,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,19,19,19,,,,,space,16.268292336,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,push,clap,delve,grate,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,20,20,20,,,,,space,18.2137406028,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,hop,limp,strut,inch,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,21,21,21,,,,,space,7.044350373,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,climb,sprint,dance,stumble,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,22,22,22,,,,,space,39.1431110296,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,peel,grip,nip,hack,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,23,23,23,,,,,space,4.64597222294,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,polish,squeeze,poke,scrape,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,24,24,24,,,,,space,15.1614607554,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,scuff,stride,pace,sway,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,25,25,25,,,,,space,22.3555197146,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,leg,trip,bounce,stomp,sneak,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,26,26,26,,,,,space,16.6372051142,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,arm,bash,dig,wrap,throw,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,0,27,27,27,,,,,space,19.0188345265,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
,,,,,,0.4,0.4,0.8,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,2018_Jun_20_0957,59.6037698969,sheb_replic_pilot_control,001,912,
