word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,391.715509748,,,,,,,,,,,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
,,,,,,,,,,,,,,,,,,,,space,26.3137070442,,,,,,,,,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
,,,,,,,,,,,,,,,,,,,,,,space,19.7562995461,,,,,,,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
,,,,,,,,,,,,,,,,,,,,,,,,space,35.3028685377,,,,,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,36.1078836781,,,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.24333972349,,,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,Leg,leg,0,0,0,71,0,0,0,0,,,,,,,,,,,,,1,16.538,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,Arm,arm,0,0,0,71,0,1,1,1,,,,,,,,,,,,,7,6.302,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
SKIM,skumma,vispa,sleva,2,sleva,skumma,vispa,,,0,0,0,71,,,,,,,,,,,,,,,,,,,return,19.0017333234,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,Leg,leg,0,1,1,96,0,0,0,0,,,,,,,,,,,,,1,16.009,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,Arm,arm,0,1,1,96,0,1,1,1,,,,,,,,,,,,,7,9.035,,,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
TOSS,slänga,fånga,gripa,1,slänga,gripa,fånga,,,0,1,1,96,,,,,,,,,,,,,,,,,,,return,3.62280914556,2018_Jun_21_1704,59.6125500796,verb_norming_oral_input,001,915,
