item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.11998152435,,,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,space,7.59768311486,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
4,training,save,look,stay,print,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,space,5.05013635477,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,space,7.58095347976,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,space,6.91006433289,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,p,47.631060991,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
2,training,like,thank,stare,yell,,,,1,0,1,0,0,0,0,1,,,,,,,,,,,space,4.36045190284,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
4,training,save,look,stay,print,,,,1,0,1,0,0,1,1,3,,,,,,,,,,,space,5.08187252114,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
3,training,lick,ruin,chew,soothe,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,space,5.08305431511,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
1,training,wait,bless,blush,sigh,,,,1,0,1,0,0,3,3,0,,,,,,,,,,,space,6.2898919672,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,s,8.50334663823,space,2.2310369679,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,trot,trudge,tiptoe,rush,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,space,6.00429649871,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,creep,slither,climb,hop,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,1,1,1,,,space,7.01127307382,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,wrap,snatch,catch,braid,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,2,2,2,,,space,7.38012120599,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,stir,twine,grate,delve,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,3,3,3,,,space,6.97711089108,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,flit,strut,stomp,roll,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,4,4,4,,,space,7.74913212622,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,poke,slap,file,clutch,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,5,5,5,,,space,6.60825406633,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,click,whip,pat,bash,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,6,6,6,,,space,6.77578037517,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,limp,sprint,bounce,stumble,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,7,7,7,,,space,5.87096753801,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,wash,hack,scrub,squeeze,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,8,8,8,,,space,5.51787823926,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,polish,skim,brush,push,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,9,9,9,,,space,9.2423329585,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,stroll,trek,skate,leap,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,10,10,10,,,space,5.13316222146,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,stride,stray,crawl,ramble,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,11,11,11,,,space,6.07143986048,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,scoop,claw,throw,shake,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,12,12,12,,,space,6.33981337849,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,peel,scrape,fold,knock,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,13,13,13,,,space,8.10093215926,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,prance,tread,skip,hike,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,14,14,14,,,space,7.81584639128,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,dig,chop,clap,clean,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,15,15,15,,,space,5.95426564009,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,pinch,bind,grip,stab,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,16,16,16,,,space,6.94427511501,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,slide,pace,stagger,trip,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,17,17,17,,,space,7.31321175331,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,jump,roam,run,scuff,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,18,18,18,,,space,6.23899066655,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,sway,kneel,stamp,inch,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,19,19,19,,,space,5.68514061018,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,switch,toss,tug,seize,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,20,20,20,,,space,5.9876375895,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,leg,traipse,step,slip,glide,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,21,21,21,,,space,7.44654822123,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
,arm,cut,rub,lift,pull,0.1,0.4,0.5,1,0,1,0,,,,,0,0,0,0,0,22,22,22,,,space,5.13233958856,,,,,,,2018_Jun_12_1200,59.6270040404,sheb_replic_pilot_control,001,903,
