word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,Arm,arm,0,7,7,106,0,1,1,1,,,,,,,,,,,,,1,4.22,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WANDER,vandra,marschera,spatsera,1,vandra,marschera,spatsera,,,0,7,7,106,,,,,,,,,,,,,,,,,,,1,1,2.75064788002,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,Leg,leg,0,8,8,14,0,0,0,0,,,,,,,,,,,,,7,3.783,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,Arm,arm,0,8,8,14,0,1,1,1,,,,,,,,,,,,,1,1.572,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CRAWL,kravla,huka,klättra,2,klättra,kravla,huka,,,0,8,8,14,,,,,,,,,,,,,,,,,,,2,1,5.24962632564,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SEIZE,fånga,klämma,fästa,1,fånga,fästa,klämma,Leg,leg,0,9,9,68,0,0,0,0,,,,,,,,,,,,,3,3.008,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SEIZE,fånga,klämma,fästa,1,fånga,fästa,klämma,Arm,arm,0,9,9,68,0,1,1,1,,,,,,,,,,,,,4,0.9,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SEIZE,fånga,klämma,fästa,1,fånga,fästa,klämma,,,0,9,9,68,,,,,,,,,,,,,,,,,,,1,1,4.83030264956,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WIPE,torka,putsa,gnugga,2,putsa,torka,gnugga,Leg,leg,0,10,10,109,0,0,0,0,,,,,,,,,,,,,1,4.974,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WIPE,torka,putsa,gnugga,2,putsa,torka,gnugga,Arm,arm,0,10,10,109,0,1,1,1,,,,,,,,,,,,,7,0.768,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
