word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,62.0694135436,,,,,,,,,,,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
,,,,,,,,,,,,,,,,,,,,space,10.0461684895,,,,,,,,,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
,,,,,,,,,,,,,,,,,,,,,,space,12.3102309136,,,,,,,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
,,,,,,,,,,,,,,,,,,,,,,,,space,7.46339887797,,,,,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.5390330181,,,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.84084810942,,,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SKIP,hoppa,kliva,strutta,2,strutta,hoppa,kliva,Leg,leg,0,0,0,72,0,0,0,0,,,,,,,,,,,,,7,4.398,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SKIP,hoppa,kliva,strutta,2,strutta,hoppa,kliva,Arm,arm,0,0,0,72,0,1,1,1,,,,,,,,,,,,,1,3.902,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SKIP,hoppa,kliva,strutta,2,strutta,hoppa,kliva,,,0,0,0,72,,,,,,,,,,,,,,,,,,,return,70.0361410176,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CATCH,fånga,krama,omfamna,3,omfamna,krama,fånga,Leg,leg,0,1,1,6,0,0,0,0,,,,,,,,,,,,,2,5.945,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CATCH,fånga,krama,omfamna,3,omfamna,krama,fånga,Arm,arm,0,1,1,6,0,1,1,1,,,,,,,,,,,,,1,1.94,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CATCH,fånga,krama,omfamna,3,omfamna,krama,fånga,,,0,1,1,6,,,,,,,,,,,,,,,,,,,return,2.46580627726,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Leg,leg,0,2,2,46,0,0,0,0,,,,,,,,,,,,,1,6.887,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Arm,arm,0,2,2,46,0,1,1,1,,,,,,,,,,,,,7,2.042,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,,,0,2,2,46,,,,,,,,,,,,,,,,,,,return,4.37758514896,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,Leg,leg,0,3,3,5,0,0,0,0,,,,,,,,,,,,,1,9.468,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,Arm,arm,0,3,3,5,0,1,1,1,,,,,,,,,,,,,7,3.953,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
CARVE,tälja,hacka,riva,1,tälja,riva,hacka,,,0,3,3,5,,,,,,,,,,,,,,,,,,,return,2.44900742686,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SQUEEZE,klämma,knuffa,knäppa,1,klämma,knäppa,knuffa,Leg,leg,0,4,4,80,0,0,0,0,,,,,,,,,,,,,3,8.189,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SQUEEZE,klämma,knuffa,knäppa,1,klämma,knäppa,knuffa,Arm,arm,0,4,4,80,0,1,1,1,,,,,,,,,,,,,7,12.405,,,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
SQUEEZE,klämma,knuffa,knäppa,1,klämma,knäppa,knuffa,,,0,4,4,80,,,,,,,,,,,,,,,,,,,return,2.23066425334,,,2018_Jun_18_0953,59.6503628353,verb_norming_oral_input,001,907,
