item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1957.44778612,,,,,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.36358873412,,,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
2,training,like,thank,stare,yell,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,space,6.72594747003,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
4,training,save,look,stay,print,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,space,9.81164906685,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
1,training,wait,bless,blush,sigh,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,space,3.72374667015,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
3,training,lick,ruin,chew,soothe,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,space,9.14100568257,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,9.45972970859,space,3.18799611837,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,tug,grab,knock,slap,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,0,0,0,,,,,space,6.99437235321,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,punch,seize,lift,push,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,1,1,1,,,,,space,7.81514150313,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,roam,tiptoe,pace,bounce,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,2,2,2,,,,,space,8.90626054468,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,skim,hack,scratch,click,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,3,3,3,,,,,space,17.2762367349,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,glide,trudge,wander,kneel,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,4,4,4,,,,,space,12.7132800295,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,strut,trip,sway,slip,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,5,5,5,,,,,space,8.0351231065,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,march,stumble,hike,crawl,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,6,6,6,,,,,space,12.1428915745,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,fold,twine,stab,wrap,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,7,7,7,,,,,space,10.5162547049,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,polish,poke,pull,dig,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,8,8,8,,,,,space,8.75337409884,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,jump,flit,stagger,trek,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,9,9,9,,,,,space,12.8137917846,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,leg,creep,jog,climb,trot,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,10,10,10,,,,,space,11.8256192071,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
,arm,shake,throw,nip,clap,0.3,0.4,0.7,0,0,0,0,,,,,0,0,0,2,0,11,11,11,,,,,space,9.59384969288,,,,,2018_Jun_19_0936,59.6272849998,sheb_replic_pilot_control,001,910,
