word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SNUBBLA,Arm,arm,0,0,0,143,0,0,0,0,6,11.092,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SNUBBLA,Ben,ben,0,0,0,143,0,1,1,1,7,2.158,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SNUBBLA,,,0,0,0,143,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SKYFFLA,Arm,arm,0,1,1,78,0,0,0,0,7,2.905,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SKYFFLA,Ben,ben,0,1,1,78,0,1,1,1,1,2.824,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SKYFFLA,,,0,1,1,78,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
TRÄDA,Arm,arm,0,2,2,160,0,0,0,0,2,5.677,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
TRÄDA,Ben,ben,0,2,2,160,0,1,1,1,7,3.484,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
TRÄDA,,,0,2,2,160,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
PADDLA,Arm,arm,0,3,3,49,0,0,0,0,7,2.591,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
PADDLA,Ben,ben,0,3,3,49,0,1,1,1,5,4.808,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
PADDLA,,,0,3,3,49,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
FATTA,Arm,arm,0,4,4,9,0,0,0,0,6,9.267,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
FATTA,Ben,ben,0,4,4,9,0,1,1,1,2,1.89,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
FATTA,,,0,4,4,9,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SVEPA,Arm,arm,0,5,5,91,0,0,0,0,6,7.437,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SVEPA,Ben,ben,0,5,5,91,0,1,1,1,3,1.119,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SVEPA,,,0,5,5,91,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
KRATSA,Arm,arm,0,6,6,42,0,0,0,0,7,5.526,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
KRATSA,Ben,ben,0,6,6,42,0,1,1,1,1,4.673,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
KRATSA,,,0,6,6,42,,,,,,,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SMÄLLA,Arm,arm,0,7,7,84,0,0,0,0,4,9.399,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
SMÄLLA,Ben,ben,0,7,7,84,0,1,1,1,4,0.884,,,2018_Sep_13_1547,59.6264535706,verb_norming_L1-swe_no_translation,001,808,
