word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
MARSCHERA,Arm,arm,0,0,0,127,0,0,0,0,4,4.181,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
MARSCHERA,Ben,ben,0,0,0,127,0,1,1,1,7,2.272,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
MARSCHERA,,,0,0,0,127,,,,,,,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
ÖSA,Arm,arm,0,1,1,48,0,0,0,0,7,3.562,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
ÖSA,Ben,ben,0,1,1,48,0,1,1,1,1,2.11,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
ÖSA,,,0,1,1,48,,,,,,,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SKUTTA,Arm,arm,0,2,2,137,0,0,0,0,1,7.604,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SKUTTA,Ben,ben,0,2,2,137,0,1,1,1,7,0.749,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SKUTTA,,,0,2,2,137,,,,,,,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SNAVA,Arm,arm,0,3,3,142,0,0,0,0,2,4.252,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SNAVA,Ben,ben,0,3,3,142,0,1,1,1,7,0.867,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
SNAVA,,,0,3,3,142,,,,,,,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
ROTA,Arm,arm,0,4,4,66,0,0,0,0,7,11.196,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
ROTA,Ben,ben,0,4,4,66,0,1,1,1,3,1.639,,,2018_Sep_11_1257,59.6279682321,verb_norming_L1-swe_no_translation,001,804,
