word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
SCRATCH,Leg,leg,0,0,0,40,0,0,0,0,1,20.488,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
SCRATCH,Arm,arm,0,0,0,40,0,1,1,1,7,5.462,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
SCRATCH,,,0,0,0,40,,,,,,,return,27.4717551962,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRAMPLE,Leg,leg,0,1,1,117,0,0,0,0,5,40.106,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRAMPLE,Arm,arm,0,1,1,117,0,1,1,1,1,3.818,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRAMPLE,,,0,1,1,117,,,,,,,return,5.93744735091,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
HOBBLE,Leg,leg,0,2,2,70,0,0,0,0,5,15.757,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
HOBBLE,Arm,arm,0,2,2,70,0,1,1,1,1,5.194,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
HOBBLE,,,0,2,2,70,,,,,,,return,6.85986610339,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
SNEAK,Leg,leg,0,3,3,97,0,0,0,0,7,8.31,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
SNEAK,Arm,arm,0,3,3,97,0,1,1,1,1,1.052,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
SNEAK,,,0,3,3,97,,,,,,,return,2.44905188178,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
WADE,Leg,leg,0,4,4,124,0,0,0,0,7,6.382,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
WADE,Arm,arm,0,4,4,124,0,1,1,1,1,2.797,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
WADE,,,0,4,4,124,,,,,,,return,1.6104939413,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
THROW,Leg,leg,0,5,5,52,0,0,0,0,1,10.173,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
THROW,Arm,arm,0,5,5,52,0,1,1,1,7,3.786,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
THROW,,,0,5,5,52,,,,,,,return,1.10731128907,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRUDGE,Leg,leg,0,6,6,122,0,0,0,0,4,4.247,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRUDGE,Arm,arm,0,6,6,122,0,1,1,1,4,2.425,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
TRUDGE,,,0,6,6,122,,,,,,,return,2.70060468417,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CLEAN,Leg,leg,0,7,7,9,0,0,0,0,1,6.819,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CLEAN,Arm,arm,0,7,7,9,0,1,1,1,7,1.773,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CLEAN,,,0,7,7,9,,,,,,,return,1.22471026209,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CROUCH,Leg,leg,0,8,8,62,0,0,0,0,1,9.871,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CROUCH,Arm,arm,0,8,8,62,0,1,1,1,4,4.422,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
CROUCH,,,0,8,8,62,,,,,,,return,4.79687487653,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
GESTURE,Leg,leg,0,9,9,17,0,0,0,0,1,11.261,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
GESTURE,Arm,arm,0,9,9,17,0,1,1,1,7,6.047,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
GESTURE,,,0,9,9,17,,,,,,,return,3.70688899004,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
KNEEL,Leg,leg,0,10,10,76,0,0,0,0,7,4.588,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
KNEEL,Arm,arm,0,10,10,76,0,1,1,1,1,6.637,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
KNEEL,,,0,10,10,76,,,,,,,return,9.0064601321,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
WIPE,Leg,leg,0,11,11,58,0,0,0,0,4,10.156,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
WIPE,Arm,arm,0,11,11,58,0,1,1,1,4,2.126,,,2018_Sep_10_1422,59.6386206506,verb_norming_L2-eng_oral_translation,001,803,
