word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SLINTA,Ben,ben,0,22,22,140,0,1,1,1,,,,,,,,,,,2,3.164,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SLINTA,,,0,22,22,140,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SMÄLLA,Arm,arm,0,23,23,84,0,0,0,0,,,,,,,,,,,7,6.547,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SMÄLLA,Ben,ben,0,23,23,84,0,1,1,1,,,,,,,,,,,1,0.899,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SMÄLLA,,,0,23,23,84,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RÄNNA,Arm,arm,0,24,24,131,0,0,0,0,,,,,,,,,,,1,2.139,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RÄNNA,Ben,ben,0,24,24,131,0,1,1,1,,,,,,,,,,,7,0.816,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RÄNNA,,,0,24,24,131,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
DANSA,Arm,arm,0,25,25,102,0,0,0,0,,,,,,,,,,,2,4.487,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
DANSA,Ben,ben,0,25,25,102,0,1,1,1,,,,,,,,,,,7,1.404,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
DANSA,,,0,25,25,102,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRUTTA,Arm,arm,0,26,26,154,0,0,0,0,,,,,,,,,,,1,1.785,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRUTTA,Ben,ben,0,26,26,154,0,1,1,1,,,,,,,,,,,7,1.05,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STRUTTA,,,0,26,26,154,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIVA,Arm,arm,0,27,27,117,0,0,0,0,,,,,,,,,,,1,1.92,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIVA,Ben,ben,0,27,27,117,0,1,1,1,,,,,,,,,,,7,0.7,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLIVA,,,0,27,27,117,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RAGLA,Arm,arm,0,28,28,130,0,0,0,0,,,,,,,,,,,1,1.719,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RAGLA,Ben,ben,0,28,28,130,0,1,1,1,,,,,,,,,,,7,0.515,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
RAGLA,,,0,28,28,130,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLICKA,Arm,arm,0,29,29,33,0,0,0,0,,,,,,,,,,,7,1.968,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLICKA,Ben,ben,0,29,29,33,0,1,1,1,,,,,,,,,,,1,0.747,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
KLICKA,,,0,29,29,33,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SLITA,Arm,arm,0,30,30,82,0,0,0,0,,,,,,,,,,,7,2.457,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SLITA,Ben,ben,0,30,30,82,0,1,1,1,,,,,,,,,,,1,0.649,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SLITA,,,0,30,30,82,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNIDA,Arm,arm,0,31,31,14,0,0,0,0,,,,,,,,,,,7,1.986,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNIDA,Ben,ben,0,31,31,14,0,1,1,1,,,,,,,,,,,1,0.784,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
GNIDA,,,0,31,31,14,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HIVA,Arm,arm,0,32,32,24,0,0,0,0,,,,,,,,,,,7,2.855,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HIVA,Ben,ben,0,32,32,24,0,1,1,1,,,,,,,,,,,1,4.506,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
HIVA,,,0,32,32,24,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
TRUMMA,Arm,arm,0,33,33,94,0,0,0,0,,,,,,,,,,,7,3.411,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
TRUMMA,Ben,ben,0,33,33,94,0,1,1,1,,,,,,,,,,,1,2.626,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
TRUMMA,,,0,33,33,94,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FÅNGA,Arm,arm,0,34,34,8,0,0,0,0,,,,,,,,,,,7,1.933,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FÅNGA,Ben,ben,0,34,34,8,0,1,1,1,,,,,,,,,,,1,0.613,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
FÅNGA,,,0,34,34,8,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SNAVA,Arm,arm,0,35,35,142,0,0,0,0,,,,,,,,,,,1,2.156,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SNAVA,Ben,ben,0,35,35,142,0,1,1,1,,,,,,,,,,,7,1.102,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
SNAVA,,,0,35,35,142,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PROMENERA,Arm,arm,0,36,36,129,0,0,0,0,,,,,,,,,,,1,2.856,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PROMENERA,Ben,ben,0,36,36,129,0,1,1,1,,,,,,,,,,,7,0.663,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
PROMENERA,,,0,36,36,129,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STEGA,Arm,arm,0,37,37,150,0,0,0,0,,,,,,,,,,,1,1.852,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STEGA,Ben,ben,0,37,37,150,0,1,1,1,,,,,,,,,,,7,0.607,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
STEGA,,,0,37,37,150,,,,,,,,,,,,,,,,,,,2018_Sep_07_1309,59.6344808082,verb_norming_oral_input,001,800,
