word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SIGNERA,Ben/fötter,ben/fötter,0,0,0,68,0,0,0,0,1,25.506,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
SIGNERA,Armar/händer,armar/händer,0,0,0,68,0,1,1,1,7,8.252,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
SIGNERA,,,0,0,0,68,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
SVASSA,Ben/fötter,ben/fötter,0,1,1,157,0,0,0,0,5,7.85,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
SVASSA,Armar/händer,armar/händer,0,1,1,157,0,1,1,1,1,2.551,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
SVASSA,,,0,1,1,157,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
TVÄTTA,Ben/fötter,ben/fötter,0,2,2,96,0,0,0,0,1,6.525,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
TVÄTTA,Armar/händer,armar/händer,0,2,2,96,0,1,1,1,6,7.918,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
TVÄTTA,,,0,2,2,96,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
VIKA,Ben/fötter,ben/fötter,0,3,3,98,0,0,0,0,1,3.675,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
VIKA,Armar/händer,armar/händer,0,3,3,98,0,1,1,1,7,2.25,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
VIKA,,,0,3,3,98,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
RAKA,Ben/fötter,ben/fötter,0,4,4,59,0,0,0,0,4,10.686,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
RAKA,Armar/händer,armar/händer,0,4,4,59,0,1,1,1,6,3.491,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
RAKA,,,0,4,4,59,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
HÖJA,Ben/fötter,ben/fötter,0,5,5,25,0,0,0,0,1,3.152,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
HÖJA,Armar/händer,armar/händer,0,5,5,25,0,1,1,1,7,5.051,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
HÖJA,,,0,5,5,25,,,,,,,,,2018_Sep_13_1321,59.6201329982,verb_norming_L1-swe_no_translation,001,807,
