word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
GRASP,Arm,arm,0,58,58,19,0,0,0,0,7,4.922,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GRASP,Leg,leg,0,58,58,19,0,1,1,1,1,1.008,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GRASP,,,0,58,58,19,,,,,,,return,8.97304634608,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STROLL,Arm,arm,0,59,59,108,0,0,0,0,1,4.738,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STROLL,Leg,leg,0,59,59,108,0,1,1,1,7,1.035,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STROLL,,,0,59,59,108,,,,,,,return,7.04413701329,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWAY,Arm,arm,0,60,60,111,0,0,0,0,2,4.79,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWAY,Leg,leg,0,60,60,111,0,1,1,1,6,0.851,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SWAY,,,0,60,60,111,,,,,,,return,0.989922704515,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SKIP,Arm,arm,0,61,61,93,0,0,0,0,4,8.815,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SKIP,Leg,leg,0,61,61,93,0,1,1,1,4,0.582,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SKIP,,,0,61,61,93,,,,,,,return,1.91218469681,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLIP,Arm,arm,0,62,62,95,0,0,0,0,1,5.36,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLIP,Leg,leg,0,62,62,95,0,1,1,1,7,1.539,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SLIP,,,0,62,62,95,,,,,,,return,4.83053311876,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TIPTOE,Arm,arm,0,63,63,112,0,0,0,0,1,5.476,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TIPTOE,Leg,leg,0,63,63,112,0,1,1,1,7,1.286,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TIPTOE,,,0,63,63,112,,,,,,,return,1.71218445975,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SNEAK,Arm,arm,0,64,64,97,0,0,0,0,1,5.443,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SNEAK,Leg,leg,0,64,64,97,0,1,1,1,7,0.633,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SNEAK,,,0,64,64,97,,,,,,,return,1.9626707421,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CROUCH,Arm,arm,0,65,65,62,0,0,0,0,4,6.565,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CROUCH,Leg,leg,0,65,65,62,0,1,1,1,4,0.414,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CROUCH,,,0,65,65,62,,,,,,,return,0.771887644773,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAMBLE,Arm,arm,0,66,66,91,0,0,0,0,4,2.49,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAMBLE,Leg,leg,0,66,66,91,0,1,1,1,4,0.414,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAMBLE,,,0,66,66,91,,,,,,,return,0.687879232079,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PAT,Arm,arm,0,67,67,27,0,0,0,0,7,5.075,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PAT,Leg,leg,0,67,67,27,0,1,1,1,1,0.533,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
PAT,,,0,67,67,27,,,,,,,return,1.0905257618,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DANCE,Arm,arm,0,68,68,64,0,0,0,0,3,4.471,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DANCE,Leg,leg,0,68,68,64,0,1,1,1,7,0.918,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DANCE,,,0,68,68,64,,,,,,,return,0.973031726984,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TOTTER,Arm,arm,0,69,69,114,0,0,0,0,4,2.457,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TOTTER,Leg,leg,0,69,69,114,0,1,1,1,4,0.482,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TOTTER,,,0,69,69,114,,,,,,,return,0.671119431261,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TREK,Arm,arm,0,70,70,119,0,0,0,0,4,2.156,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TREK,Leg,leg,0,70,70,119,0,1,1,1,4,0.466,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TREK,,,0,70,70,119,,,,,,,return,0.906011489025,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WIPE,Arm,arm,0,71,71,58,0,0,0,0,7,3.582,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WIPE,Leg,leg,0,71,71,58,0,1,1,1,1,1.438,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WIPE,,,0,71,71,58,,,,,,,return,1.51096214564,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNOCK,Arm,arm,0,72,72,24,0,0,0,0,7,3.582,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNOCK,Leg,leg,0,72,72,24,0,1,1,1,2,0.75,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
KNOCK,,,0,72,72,24,,,,,,,return,1.1910545383,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GESTURE,Arm,arm,0,73,73,17,0,0,0,0,6,6.145,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GESTURE,Leg,leg,0,73,73,17,0,1,1,1,1,0.966,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GESTURE,,,0,73,73,17,,,,,,,return,0.68804280786,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRAMPLE,Arm,arm,0,74,74,117,0,0,0,0,4,2.524,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRAMPLE,Leg,leg,0,74,74,117,0,1,1,1,4,0.479,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRAMPLE,,,0,74,74,117,,,,,,,return,0.855788587389,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CYCLE,Arm,arm,0,75,75,63,0,0,0,0,1,3.498,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CYCLE,Leg,leg,0,75,75,63,0,1,1,1,7,1.203,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CYCLE,,,0,75,75,63,,,,,,,return,1.44272180619,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRIP,Arm,arm,0,76,76,120,0,0,0,0,1,4.068,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRIP,Leg,leg,0,76,76,120,0,1,1,1,7,1.153,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
TRIP,,,0,76,76,120,,,,,,,return,1.09048427519,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOP,Arm,arm,0,77,77,71,0,0,0,0,1,2.392,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOP,Leg,leg,0,77,77,71,0,1,1,1,7,0.466,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HOP,,,0,77,77,71,,,,,,,return,1.09054512222,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
MARCH,Arm,arm,0,78,78,80,0,0,0,0,1,2.743,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
MARCH,Leg,leg,0,78,78,80,0,1,1,1,7,1.957,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
