item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,y,0,3.27057765563,2018_Sep_17_1348,59.5953490452,lextale,001,810,
0,denial,y,0,1,1,1,y,1,1.44250805136,2018_Sep_17_1348,59.5953490452,lextale,001,810,
0,generic,y,0,2,2,2,y,1,1.17423112468,2018_Sep_17_1348,59.5953490452,lextale,001,810,
1,mensible,n,0,3,3,3,n,1,1.49286450038,2018_Sep_17_1348,59.5953490452,lextale,001,810,
2,scornful,y,0,4,4,4,n,0,2.09539233889,2018_Sep_17_1348,59.5953490452,lextale,001,810,
3,stoutly,y,0,5,5,5,y,1,1.61061101086,2018_Sep_17_1348,59.5953490452,lextale,001,810,
4,ablaze,y,0,6,6,6,n,0,1.24046074636,2018_Sep_17_1348,59.5953490452,lextale,001,810,
5,kermshaw,n,0,7,7,7,n,1,1.09045503701,2018_Sep_17_1348,59.5953490452,lextale,001,810,
6,moonlit,y,0,8,8,8,y,1,1.74336579694,2018_Sep_17_1348,59.5953490452,lextale,001,810,
7,lofty,y,0,9,9,9,y,1,1.6101680919,2018_Sep_17_1348,59.5953490452,lextale,001,810,
8,hurricane,y,0,10,10,10,y,1,1.29032765335,2018_Sep_17_1348,59.5953490452,lextale,001,810,
9,flaw,y,0,11,11,11,y,1,0.771803091107,2018_Sep_17_1348,59.5953490452,lextale,001,810,
10,alberation,n,0,12,12,12,n,1,1.61045770795,2018_Sep_17_1348,59.5953490452,lextale,001,810,
11,unkempt,y,0,13,13,13,n,0,1.07364545226,2018_Sep_17_1348,59.5953490452,lextale,001,810,
12,breeding,y,0,14,14,14,y,1,0.82088254271,2018_Sep_17_1348,59.5953490452,lextale,001,810,
13,festivity,y,0,15,15,15,y,1,2.09627225016,2018_Sep_17_1348,59.5953490452,lextale,001,810,
14,screech,y,0,16,16,16,y,1,1.56131227288,2018_Sep_17_1348,59.5953490452,lextale,001,810,
15,savoury,y,0,17,17,17,y,1,1.22329240119,2018_Sep_17_1348,59.5953490452,lextale,001,810,
16,plaudate,n,0,18,18,18,n,1,0.989799430014,2018_Sep_17_1348,59.5953490452,lextale,001,810,
17,shin,y,0,19,19,19,y,1,0.90651248925,2018_Sep_17_1348,59.5953490452,lextale,001,810,
18,fluid,y,0,20,20,20,y,1,1.29260230499,2018_Sep_17_1348,59.5953490452,lextale,001,810,
19,spaunch,n,0,21,21,21,n,1,0.871386763085,2018_Sep_17_1348,59.5953490452,lextale,001,810,
20,allied,y,0,22,22,22,y,1,1.22473771572,2018_Sep_17_1348,59.5953490452,lextale,001,810,
21,slain,y,0,23,23,23,n,0,0.972786363311,2018_Sep_17_1348,59.5953490452,lextale,001,810,
22,recipient,y,0,24,24,24,y,1,1.87804042534,2018_Sep_17_1348,59.5953490452,lextale,001,810,
23,exprate,n,0,25,25,25,n,1,0.838910648506,2018_Sep_17_1348,59.5953490452,lextale,001,810,
24,eloquence,y,0,26,26,26,n,0,1.42603549594,2018_Sep_17_1348,59.5953490452,lextale,001,810,
25,cleanliness,y,0,27,27,27,y,1,0.704879260131,2018_Sep_17_1348,59.5953490452,lextale,001,810,
26,dispatch,y,0,28,28,28,y,1,0.721850445112,2018_Sep_17_1348,59.5953490452,lextale,001,810,
27,rebondicate,n,0,29,29,29,n,1,1.20772820501,2018_Sep_17_1348,59.5953490452,lextale,001,810,
28,ingenious,y,0,30,30,30,y,1,0.672206775593,2018_Sep_17_1348,59.5953490452,lextale,001,810,
29,bewitch,y,0,31,31,31,y,1,1.49289057768,2018_Sep_17_1348,59.5953490452,lextale,001,810,
30,skave,n,0,32,32,32,n,1,1.02370426447,2018_Sep_17_1348,59.5953490452,lextale,001,810,
31,plaintively,y,0,33,33,33,n,0,1.10828440218,2018_Sep_17_1348,59.5953490452,lextale,001,810,
32,kilp,n,0,34,34,34,n,1,0.804658511848,2018_Sep_17_1348,59.5953490452,lextale,001,810,
33,interfate,n,0,35,35,35,y,0,0.991020321722,2018_Sep_17_1348,59.5953490452,lextale,001,810,
34,hasty,y,0,36,36,36,y,1,2.9357368437,2018_Sep_17_1348,59.5953490452,lextale,001,810,
35,lengthy,y,0,37,37,37,y,1,0.738674648954,2018_Sep_17_1348,59.5953490452,lextale,001,810,
36,fray,y,0,38,38,38,n,0,0.855487118013,2018_Sep_17_1348,59.5953490452,lextale,001,810,
37,crumper,n,0,39,39,39,n,1,0.754896309154,2018_Sep_17_1348,59.5953490452,lextale,001,810,
38,upkeep,y,0,40,40,40,n,0,0.823102669092,2018_Sep_17_1348,59.5953490452,lextale,001,810,
39,majestic,y,0,41,41,41,y,1,0.619973551298,2018_Sep_17_1348,59.5953490452,lextale,001,810,
40,magrity,n,0,42,42,42,n,1,0.905541307429,2018_Sep_17_1348,59.5953490452,lextale,001,810,
41,nourishment,y,0,43,43,43,y,1,0.939365144213,2018_Sep_17_1348,59.5953490452,lextale,001,810,
42,abergy,n,0,44,44,44,n,1,1.27610485761,2018_Sep_17_1348,59.5953490452,lextale,001,810,
43,proom,n,0,45,45,45,n,1,1.00673149905,2018_Sep_17_1348,59.5953490452,lextale,001,810,
44,turmoil,y,0,46,46,46,n,0,0.923411368991,2018_Sep_17_1348,59.5953490452,lextale,001,810,
45,carbohydrate,y,0,47,47,47,y,1,1.69357435606,2018_Sep_17_1348,59.5953490452,lextale,001,810,
46,scholar,y,0,48,48,48,y,1,0.721402784819,2018_Sep_17_1348,59.5953490452,lextale,001,810,
47,turtle,y,0,49,49,49,y,1,0.637335500647,2018_Sep_17_1348,59.5953490452,lextale,001,810,
48,fellick,n,0,50,50,50,n,1,1.02194760281,2018_Sep_17_1348,59.5953490452,lextale,001,810,
49,destription,n,0,51,51,51,n,1,1.02337395202,2018_Sep_17_1348,59.5953490452,lextale,001,810,
50,cylinder,y,0,52,52,52,y,1,0.738224617997,2018_Sep_17_1348,59.5953490452,lextale,001,810,
51,censorship,y,0,53,53,53,y,1,1.72656648506,2018_Sep_17_1348,59.5953490452,lextale,001,810,
52,celestial,y,0,54,54,54,y,1,0.754997852575,2018_Sep_17_1348,59.5953490452,lextale,001,810,
53,rascal,y,0,55,55,55,n,0,1.07403266063,2018_Sep_17_1348,59.5953490452,lextale,001,810,
54,purrage,n,0,56,56,56,n,1,0.938237498602,2018_Sep_17_1348,59.5953490452,lextale,001,810,
55,pulsh,n,0,57,57,57,n,1,0.838793695773,2018_Sep_17_1348,59.5953490452,lextale,001,810,
56,muddy,y,0,58,58,58,n,0,0.738326161418,2018_Sep_17_1348,59.5953490452,lextale,001,810,
57,quirty,n,0,59,59,59,n,1,1.05692950872,2018_Sep_17_1348,59.5953490452,lextale,001,810,
58,pudour,n,0,60,60,60,n,1,1.55997679911,2018_Sep_17_1348,59.5953490452,lextale,001,810,
59,listless,y,0,61,61,61,n,0,1.47614974217,2018_Sep_17_1348,59.5953490452,lextale,001,810,
60,wrought,y,0,62,62,62,y,1,0.92266105399,2018_Sep_17_1348,59.5953490452,lextale,001,810,
