item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,n,1,32.3344121003,2018_Sep_12_1719,59.609040123,lextale,001,806,
0,denial,y,0,1,1,1,n,0,4.19275884086,2018_Sep_12_1719,59.609040123,lextale,001,806,
0,generic,y,0,2,2,2,n,0,2.01274172493,2018_Sep_12_1719,59.609040123,lextale,001,806,
1,mensible,n,0,3,3,3,n,1,1.45936429267,2018_Sep_12_1719,59.609040123,lextale,001,806,
2,scornful,y,0,4,4,4,n,0,1.81152251147,2018_Sep_12_1719,59.609040123,lextale,001,806,
3,stoutly,y,0,5,5,5,n,0,0.956348855145,2018_Sep_12_1719,59.609040123,lextale,001,806,
4,ablaze,y,0,6,6,6,n,0,1.47608313947,2018_Sep_12_1719,59.609040123,lextale,001,806,
5,kermshaw,n,0,7,7,7,n,1,1.7444128273,2018_Sep_12_1719,59.609040123,lextale,001,806,
6,moonlit,y,0,8,8,8,n,0,1.29155432529,2018_Sep_12_1719,59.609040123,lextale,001,806,
7,lofty,y,0,9,9,9,n,0,1.40899874199,2018_Sep_12_1719,59.609040123,lextale,001,806,
8,hurricane,y,0,10,10,10,n,0,1.57657717813,2018_Sep_12_1719,59.609040123,lextale,001,806,
9,flaw,y,0,11,11,11,n,0,1.32494934761,2018_Sep_12_1719,59.609040123,lextale,001,806,
10,alberation,n,0,12,12,12,n,1,1.79362190712,2018_Sep_12_1719,59.609040123,lextale,001,806,
11,unkempt,y,0,13,13,13,n,0,1.17422172316,2018_Sep_12_1719,59.609040123,lextale,001,806,
12,breeding,y,0,14,14,14,y,1,4.41104064203,2018_Sep_12_1719,59.609040123,lextale,001,806,
13,festivity,y,0,15,15,15,n,0,1.67735885287,2018_Sep_12_1719,59.609040123,lextale,001,806,
14,screech,y,0,16,16,16,n,0,2.34823759688,2018_Sep_12_1719,59.609040123,lextale,001,806,
15,savoury,y,0,17,17,17,n,0,1.52649531248,2018_Sep_12_1719,59.609040123,lextale,001,806,
16,plaudate,n,0,18,18,18,n,1,1.05666233105,2018_Sep_12_1719,59.609040123,lextale,001,806,
17,shin,y,0,19,19,19,n,0,1.14080062395,2018_Sep_12_1719,59.609040123,lextale,001,806,
18,fluid,y,0,20,20,20,n,0,0.855438771447,2018_Sep_12_1719,59.609040123,lextale,001,806,
19,spaunch,n,0,21,21,21,n,1,0.754805655999,2018_Sep_12_1719,59.609040123,lextale,001,806,
20,allied,y,0,22,22,22,n,0,1.32498964826,2018_Sep_12_1719,59.609040123,lextale,001,806,
21,slain,y,0,23,23,23,n,0,0.704613556192,2018_Sep_12_1719,59.609040123,lextale,001,806,
22,recipient,y,0,24,24,24,n,0,4.12596286966,2018_Sep_12_1719,59.609040123,lextale,001,806,
23,exprate,n,0,25,25,25,n,1,1.50977686078,2018_Sep_12_1719,59.609040123,lextale,001,806,
24,eloquence,y,0,26,26,26,n,0,1.15746692185,2018_Sep_12_1719,59.609040123,lextale,001,806,
25,cleanliness,y,0,27,27,27,y,1,6.49060994652,2018_Sep_12_1719,59.609040123,lextale,001,806,
26,dispatch,y,0,28,28,28,y,1,7.06086979884,2018_Sep_12_1719,59.609040123,lextale,001,806,
27,rebondicate,n,0,29,29,29,n,1,2.11337918653,2018_Sep_12_1719,59.609040123,lextale,001,806,
28,ingenious,y,0,30,30,30,n,0,1.45943975763,2018_Sep_12_1719,59.609040123,lextale,001,806,
29,bewitch,y,0,31,31,31,n,0,1.07365063912,2018_Sep_12_1719,59.609040123,lextale,001,806,
30,skave,n,0,32,32,32,n,1,4.8135367542,2018_Sep_12_1719,59.609040123,lextale,001,806,
31,plaintively,y,0,33,33,33,n,0,2.11348033328,2018_Sep_12_1719,59.609040123,lextale,001,806,
32,kilp,n,0,34,34,34,n,1,0.738321106166,2018_Sep_12_1719,59.609040123,lextale,001,806,
33,interfate,n,0,35,35,35,n,1,0.973025820869,2018_Sep_12_1719,59.609040123,lextale,001,806,
34,hasty,y,0,36,36,36,n,0,0.906031902317,2018_Sep_12_1719,59.609040123,lextale,001,806,
35,lengthy,y,0,37,37,37,n,0,2.16372577219,2018_Sep_12_1719,59.609040123,lextale,001,806,
36,fray,y,0,38,38,38,y,1,2.63333591468,2018_Sep_12_1719,59.609040123,lextale,001,806,
37,crumper,n,0,39,39,39,n,1,4.49489801563,2018_Sep_12_1719,59.609040123,lextale,001,806,
38,upkeep,y,0,40,40,40,y,1,3.35446167803,2018_Sep_12_1719,59.609040123,lextale,001,806,
39,majestic,y,0,41,41,41,y,1,2.09663821388,2018_Sep_12_1719,59.609040123,lextale,001,806,
40,magrity,n,0,42,42,42,n,1,2.44885490815,2018_Sep_12_1719,59.609040123,lextale,001,806,
41,nourishment,y,0,43,43,43,n,0,1.22465602202,2018_Sep_12_1719,59.609040123,lextale,001,806,
42,abergy,n,0,44,44,44,y,0,6.55768841743,2018_Sep_12_1719,59.609040123,lextale,001,806,
43,proom,n,0,45,45,45,y,0,1.71094352534,2018_Sep_12_1719,59.609040123,lextale,001,806,
44,turmoil,y,0,46,46,46,n,0,1.71092100439,2018_Sep_12_1719,59.609040123,lextale,001,806,
45,carbohydrate,y,0,47,47,47,n,0,3.43840636972,2018_Sep_12_1719,59.609040123,lextale,001,806,
46,scholar,y,0,48,48,48,y,1,3.55573067465,2018_Sep_12_1719,59.609040123,lextale,001,806,
47,turtle,y,0,49,49,49,n,0,0.268615348388,2018_Sep_12_1719,59.609040123,lextale,001,806,
48,fellick,n,0,50,50,50,n,1,1.04019279519,2018_Sep_12_1719,59.609040123,lextale,001,806,
49,destription,n,0,51,51,51,y,0,2.86801652801,2018_Sep_12_1719,59.609040123,lextale,001,806,
50,cylinder,y,0,52,52,52,n,0,0.35250828139,2018_Sep_12_1719,59.609040123,lextale,001,806,
51,censorship,y,0,53,53,53,n,0,3.15310022695,2018_Sep_12_1719,59.609040123,lextale,001,806,
52,celestial,y,0,54,54,54,n,0,1.50964766161,2018_Sep_12_1719,59.609040123,lextale,001,806,
53,rascal,y,0,55,55,55,n,0,1.14055802979,2018_Sep_12_1719,59.609040123,lextale,001,806,
54,purrage,n,0,56,56,56,n,1,0.922716770132,2018_Sep_12_1719,59.609040123,lextale,001,806,
55,pulsh,n,0,57,57,57,n,1,1.42586496276,2018_Sep_12_1719,59.609040123,lextale,001,806,
56,muddy,y,0,58,58,58,y,1,3.18676313011,2018_Sep_12_1719,59.609040123,lextale,001,806,
57,quirty,n,0,59,59,59,n,1,0.31897141656,2018_Sep_12_1719,59.609040123,lextale,001,806,
58,pudour,n,0,60,60,60,n,1,1.44262055428,2018_Sep_12_1719,59.609040123,lextale,001,806,
59,listless,y,0,61,61,61,n,0,1.22459122489,2018_Sep_12_1719,59.609040123,lextale,001,806,
60,wrought,y,0,62,62,62,n,0,1.69411800033,2018_Sep_12_1719,59.609040123,lextale,001,806,
