word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
KNIPA,Ben/fötter,ben/fötter,0,0,0,37,0,0,0,0,7,10.197,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
KNIPA,Armar/händer,armar/händer,0,0,0,37,0,1,1,1,2,4.966,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
KNIPA,,,0,0,0,37,,,,,,,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
SLEVA,Ben/fötter,ben/fötter,0,1,1,80,0,0,0,0,7,5.382,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
SLEVA,Armar/händer,armar/händer,0,1,1,80,0,1,1,1,1,0.706,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
SLEVA,,,0,1,1,80,,,,,,,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
KLAPPA,Ben/fötter,ben/fötter,0,2,2,31,0,0,0,0,1,4.697,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
KLAPPA,Armar/händer,armar/händer,0,2,2,31,0,1,1,1,7,2.5,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
KLAPPA,,,0,2,2,31,,,,,,,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
VINGLA,Ben/fötter,ben/fötter,0,3,3,168,0,0,0,0,7,3.303,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
VINGLA,Armar/händer,armar/händer,0,3,3,168,0,1,1,1,1,1.192,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
VINGLA,,,0,3,3,168,,,,,,,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
GÅ,Ben/fötter,ben/fötter,0,4,4,106,0,0,0,0,7,2.332,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
GÅ,Armar/händer,armar/händer,0,4,4,106,0,1,1,1,1,1.245,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
GÅ,,,0,4,4,106,,,,,,,,,2018_Sep_13_1706,59.6329159855,verb_norming_L1-swe_no_translation,001,809,
