item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,n,1,16.9725327827,2018_Sep_10_1457,59.6249920492,lextale,001,803,
0,denial,y,0,1,1,1,y,1,20.5450308743,2018_Sep_10_1457,59.6249920492,lextale,001,803,
0,generic,y,0,2,2,2,n,0,9.67724626893,2018_Sep_10_1457,59.6249920492,lextale,001,803,
1,mensible,n,0,3,3,3,n,1,5.35033869267,2018_Sep_10_1457,59.6249920492,lextale,001,803,
2,scornful,y,0,4,4,4,n,0,3.47189901806,2018_Sep_10_1457,59.6249920492,lextale,001,803,
3,stoutly,y,0,5,5,5,y,1,3.0358883057,2018_Sep_10_1457,59.6249920492,lextale,001,803,
4,ablaze,y,0,6,6,6,y,1,2.91843638726,2018_Sep_10_1457,59.6249920492,lextale,001,803,
5,kermshaw,n,0,7,7,7,n,1,3.77377881772,2018_Sep_10_1457,59.6249920492,lextale,001,803,
6,moonlit,y,0,8,8,8,y,1,3.17011957764,2018_Sep_10_1457,59.6249920492,lextale,001,803,
7,lofty,y,0,9,9,9,y,1,1.61035802171,2018_Sep_10_1457,59.6249920492,lextale,001,803,
8,hurricane,y,0,10,10,10,y,1,1.17431135387,2018_Sep_10_1457,59.6249920492,lextale,001,803,
9,flaw,y,0,11,11,11,y,1,1.00656049133,2018_Sep_10_1457,59.6249920492,lextale,001,803,
10,alberation,n,0,12,12,12,y,0,1.94582655711,2018_Sep_10_1457,59.6249920492,lextale,001,803,
11,unkempt,y,0,13,13,13,y,1,1.61028650587,2018_Sep_10_1457,59.6249920492,lextale,001,803,
12,breeding,y,0,14,14,14,y,1,0.889210512591,2018_Sep_10_1457,59.6249920492,lextale,001,803,
13,festivity,y,0,15,15,15,y,1,7.74804892157,2018_Sep_10_1457,59.6249920492,lextale,001,803,
14,screech,y,0,16,16,16,y,1,0.905990261203,2018_Sep_10_1457,59.6249920492,lextale,001,803,
15,savoury,y,0,17,17,17,n,0,8.10090252194,2018_Sep_10_1457,59.6249920492,lextale,001,803,
16,plaudate,n,0,18,18,18,n,1,2.0798918807,2018_Sep_10_1457,59.6249920492,lextale,001,803,
17,shin,y,0,19,19,19,y,1,2.65018206904,2018_Sep_10_1457,59.6249920492,lextale,001,803,
18,fluid,y,0,20,20,20,y,1,0.805132782385,2018_Sep_10_1457,59.6249920492,lextale,001,803,
19,spaunch,n,0,21,21,21,y,0,1.71086661388,2018_Sep_10_1457,59.6249920492,lextale,001,803,
20,allied,y,0,22,22,22,y,1,1.35880087305,2018_Sep_10_1457,59.6249920492,lextale,001,803,
21,slain,y,0,23,23,23,n,0,3.67325797698,2018_Sep_10_1457,59.6249920492,lextale,001,803,
22,recipient,y,0,24,24,24,y,1,3.84101002486,2018_Sep_10_1457,59.6249920492,lextale,001,803,
23,exprate,n,0,25,25,25,n,1,5.31672704026,2018_Sep_10_1457,59.6249920492,lextale,001,803,
24,eloquence,y,0,26,26,26,y,1,3.94143643309,2018_Sep_10_1457,59.6249920492,lextale,001,803,
25,cleanliness,y,0,27,27,27,n,0,3.55583095079,2018_Sep_10_1457,59.6249920492,lextale,001,803,
