item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,n,1,12.6118825307,2018_Sep_13_1730,59.6215374546,lextale,001,809,
0,denial,y,0,1,1,1,y,1,1.24130098429,2018_Sep_13_1730,59.6215374546,lextale,001,809,
0,generic,y,0,2,2,2,y,1,1.00649828367,2018_Sep_13_1730,59.6215374546,lextale,001,809,
1,mensible,n,0,3,3,3,n,1,7.02730053545,2018_Sep_13_1730,59.6215374546,lextale,001,809,
2,scornful,y,0,4,4,4,y,1,2.88483217542,2018_Sep_13_1730,59.6215374546,lextale,001,809,
3,stoutly,y,0,5,5,5,y,1,2.09668641663,2018_Sep_13_1730,59.6215374546,lextale,001,809,
4,ablaze,y,0,6,6,6,y,1,1.6100555675,2018_Sep_13_1730,59.6215374546,lextale,001,809,
5,kermshaw,n,0,7,7,7,n,1,4.89741072219,2018_Sep_13_1730,59.6215374546,lextale,001,809,
6,moonlit,y,0,8,8,8,y,1,1.39230399656,2018_Sep_13_1730,59.6215374546,lextale,001,809,
7,lofty,y,0,9,9,9,y,1,2.04625290797,2018_Sep_13_1730,59.6215374546,lextale,001,809,
8,hurricane,y,0,10,10,10,y,1,1.0904291467,2018_Sep_13_1730,59.6215374546,lextale,001,809,
9,flaw,y,0,11,11,11,y,1,1.09041808378,2018_Sep_13_1730,59.6215374546,lextale,001,809,
10,alberation,n,0,12,12,12,y,0,2.063176814,2018_Sep_13_1730,59.6215374546,lextale,001,809,
11,unkempt,y,0,13,13,13,n,0,3.00230622495,2018_Sep_13_1730,59.6215374546,lextale,001,809,
12,breeding,y,0,14,14,14,y,1,1.22458174238,2018_Sep_13_1730,59.6215374546,lextale,001,809,
13,festivity,y,0,15,15,15,y,1,1.12357920423,2018_Sep_13_1730,59.6215374546,lextale,001,809,
14,screech,y,0,16,16,16,y,1,1.64386821527,2018_Sep_13_1730,59.6215374546,lextale,001,809,
15,savoury,y,0,17,17,17,y,1,1.10722424867,2018_Sep_13_1730,59.6215374546,lextale,001,809,
16,plaudate,n,0,18,18,18,n,1,1.30847151455,2018_Sep_13_1730,59.6215374546,lextale,001,809,
17,shin,y,0,19,19,19,n,0,4.49492132679,2018_Sep_13_1730,59.6215374546,lextale,001,809,
18,fluid,y,0,20,20,20,y,1,0.889163310912,2018_Sep_13_1730,59.6215374546,lextale,001,809,
19,spaunch,n,0,21,21,21,n,1,2.09666112994,2018_Sep_13_1730,59.6215374546,lextale,001,809,
20,allied,y,0,22,22,22,y,1,0.956265092991,2018_Sep_13_1730,59.6215374546,lextale,001,809,
21,slain,y,0,23,23,23,y,1,1.44260988646,2018_Sep_13_1730,59.6215374546,lextale,001,809,
22,recipient,y,0,24,24,24,y,1,0.973062960693,2018_Sep_13_1730,59.6215374546,lextale,001,809,
23,exprate,n,0,25,25,25,n,1,1.89543717523,2018_Sep_13_1730,59.6215374546,lextale,001,809,
24,eloquence,y,0,26,26,26,y,1,1.45928448156,2018_Sep_13_1730,59.6215374546,lextale,001,809,
25,cleanliness,y,0,27,27,27,y,1,1.12377557116,2018_Sep_13_1730,59.6215374546,lextale,001,809,
26,dispatch,y,0,28,28,28,y,1,0.771823596904,2018_Sep_13_1730,59.6215374546,lextale,001,809,
27,rebondicate,n,0,29,29,29,y,0,2.348204013,2018_Sep_13_1730,59.6215374546,lextale,001,809,
28,ingenious,y,0,30,30,30,y,1,0.905866353532,2018_Sep_13_1730,59.6215374546,lextale,001,809,
29,bewitch,y,0,31,31,31,y,1,1.04011535471,2018_Sep_13_1730,59.6215374546,lextale,001,809,
30,skave,n,0,32,32,32,n,1,1.50967887487,2018_Sep_13_1730,59.6215374546,lextale,001,809,
31,plaintively,y,0,33,33,33,n,0,8.60377301088,2018_Sep_13_1730,59.6215374546,lextale,001,809,
32,kilp,n,0,34,34,34,n,1,2.19730372789,2018_Sep_13_1730,59.6215374546,lextale,001,809,
33,interfate,n,0,35,35,35,n,1,2.68365365772,2018_Sep_13_1730,59.6215374546,lextale,001,809,
34,hasty,y,0,36,36,36,y,1,0.872409694915,2018_Sep_13_1730,59.6215374546,lextale,001,809,
35,lengthy,y,0,37,37,37,y,1,0.805391674989,2018_Sep_13_1730,59.6215374546,lextale,001,809,
36,fray,y,0,38,38,38,y,1,2.59956040674,2018_Sep_13_1730,59.6215374546,lextale,001,809,
37,crumper,n,0,39,39,39,n,1,5.60172795001,2018_Sep_13_1730,59.6215374546,lextale,001,809,
38,upkeep,y,0,40,40,40,y,1,1.42584560265,2018_Sep_13_1730,59.6215374546,lextale,001,809,
39,majestic,y,0,41,41,41,y,1,0.872348848821,2018_Sep_13_1730,59.6215374546,lextale,001,809,
40,magrity,n,0,42,42,42,n,1,1.49290747917,2018_Sep_13_1730,59.6215374546,lextale,001,809,
41,nourishment,y,0,43,43,43,y,1,1.12399169332,2018_Sep_13_1730,59.6215374546,lextale,001,809,
42,abergy,n,0,44,44,44,n,1,2.58304227302,2018_Sep_13_1730,59.6215374546,lextale,001,809,
43,proom,n,0,45,45,45,n,1,4.66261197261,2018_Sep_13_1730,59.6215374546,lextale,001,809,
44,turmoil,y,0,46,46,46,y,1,1.24138395623,2018_Sep_13_1730,59.6215374546,lextale,001,809,
45,carbohydrate,y,0,47,47,47,y,1,2.01282588219,2018_Sep_13_1730,59.6215374546,lextale,001,809,
46,scholar,y,0,48,48,48,y,1,4.81355690453,2018_Sep_13_1730,59.6215374546,lextale,001,809,
47,turtle,y,0,49,49,49,y,1,1.25819999873,2018_Sep_13_1730,59.6215374546,lextale,001,809,
48,fellick,n,0,50,50,50,n,1,3.15324206946,2018_Sep_13_1730,59.6215374546,lextale,001,809,
49,destription,n,0,51,51,51,n,1,2.61660363433,2018_Sep_13_1730,59.6215374546,lextale,001,809,
50,cylinder,y,0,52,52,52,y,1,1.00656387101,2018_Sep_13_1730,59.6215374546,lextale,001,809,
51,censorship,y,0,53,53,53,y,1,1.04012088617,2018_Sep_13_1730,59.6215374546,lextale,001,809,
52,celestial,y,0,54,54,54,y,1,0.922730203682,2018_Sep_13_1730,59.6215374546,lextale,001,809,
53,rascal,y,0,55,55,55,y,1,1.35876515621,2018_Sep_13_1730,59.6215374546,lextale,001,809,
54,purrage,n,0,56,56,56,n,1,7.48015903746,2018_Sep_13_1730,59.6215374546,lextale,001,809,
55,pulsh,n,0,57,57,57,n,1,1.92895784077,2018_Sep_13_1730,59.6215374546,lextale,001,809,
56,muddy,y,0,58,58,58,y,1,0.872405348768,2018_Sep_13_1730,59.6215374546,lextale,001,809,
57,quirty,n,0,59,59,59,n,1,2.21405931941,2018_Sep_13_1730,59.6215374546,lextale,001,809,
58,pudour,n,0,60,60,60,n,1,2.65015037677,2018_Sep_13_1730,59.6215374546,lextale,001,809,
59,listless,y,0,61,61,61,n,0,5.2496396647,2018_Sep_13_1730,59.6215374546,lextale,001,809,
60,wrought,y,0,62,62,62,n,0,2.26438931068,2018_Sep_13_1730,59.6215374546,lextale,001,809,
