expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;comments
verb_norming_oral_input;2018_Jun_14_1448;906;61;3.38816296099;fila;FILE;arkivera;-99;correct but not what we chose as target, and not particularly hand-related
verb_norming_oral_input;2018_Jun_14_1448;906;62;1.8955371074;klicka;CLICK;klicka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;63;1.79478588365;kasta;THROW;kasta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;64;2.24781770546;röra;STIR;röra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;65;3.37144978322;tälja;CARVE;skära;1;
verb_norming_oral_input;2018_Jun_14_1448;906;66;2.46574885112;torka;WIPE;torka;1;
verb_norming_oral_input;2018_Jun_14_1448;906;67;5.60192727041;hasa sig fram;SCUFF;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;68;1.44278146789;klättra;CLIMB;klättra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;69;2.33162856286;vingla;SWAY;strosa;0;
verb_norming_oral_input;2018_Jun_14_1448;906;70;2.8347374905;dra;PULL;dra;1;
verb_norming_oral_input;2018_Jun_14_1448;906;71;2.0129967676;gnugga;RUB;gnugga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;72;3.80747051388;rusa;FLIT;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;73;6.08825861726;släpa sig fram;TRUDGE;;0;
verb_norming_oral_input;2018_Jun_14_1448;906;74;1.96262648971;halta;LIMP;halta;1;
verb_norming_oral_input;2018_Jun_14_1448;906;75;2.06193635006;slå;PUNCH;slå;1;
verb_norming_oral_input;2018_Jun_14_1448;906;76;1.89558886689;springa;RUN;springa;1;
verb_norming_oral_input;2018_Jun_14_1448;906;77;1.92898756468;jogga;JOG;jogga;1;
verb_norming_oral_input;2018_Jun_14_1448;906;78;2.44900090362;gräva;DELVE;hoppa;0;
verb_norming_oral_input;2018_Jun_14_1448;906;79;2.3986594688;trampa;TREAD;gå försiktigt;-99;unsure of correctness
verb_norming_oral_input;2018_Jun_14_1448;906;80;2.11351369078;smälla till;SLAP;slå;-99;unsure if it is too vague/far apart from target
verb_norming_oral_input;2018_Jun_14_1448;906;81;1.86201394977;skala;PEEL;skala;1;
verb_norming_oral_input;2018_Jun_14_1448;906;82;2.98566815373;vandra;HIKE;gå ;-99;unsire if it is too vague/far apart from target
