"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score"
"verb_norming_oral_input","2018_Jun_13_1344",905,65,11.187021352,"svassa","STRUT","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,66,4.91464849067,"knacka","KNOCK","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,67,2.26480655341,"gripa tag i","GRAB","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,68,2.36552695285,"fånga","CATCH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,69,2.55002751924,"smälla till","SLAP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,70,4.73028147061,"studsa","BOUNCE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,71,1.35934194062,"stampa","STOMP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,72,1.19158405299,"rengöra","CLEAN","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,73,5.63602265862,"slå","BASH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,74,4.15938911645,"rycka","TUG","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,75,2.85174343144,"snubbla","TRIP","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,76,1.17466476119,"skumma","SKIM","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,77,1.1581899653,"fly","FLEE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,78,1.22467351283,"nypa","PINCH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,79,1.12455802291,"marschera","MARCH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,80,46.7078089434,"hasa","SLITHER","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,81,1.392756969,"lyfta","LIFT","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,82,1.30855838325,"vandra","WANDER","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,83,16.1512305424,"kravla","CRAWL","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,84,0.973534911893,"vika ihop","FOLD","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,85,1.34208404173,"kliva","STRIDE","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,86,1.07409292216,"fläta","BRAID","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,87,1.42634465935,"slå","PUNCH","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,88,1.34243884823,"ragla","STAGGER","",""
"verb_norming_oral_input","2018_Jun_13_1344",905,89,0.822492835714,"klättra","CLIMB","",""
