expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;;
verb_norming_oral_input;2018_Jun_18_0953;907;0;70.0361410176;hoppa;SKIP;hoppsa;0;;
verb_norming_oral_input;2018_Jun_18_0953;907;1;2.46580627726;fånga;CATCH;fånga;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;2;4.37758514896;klappa;PAT;klappa;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;3;2.44900742686;tälja;CARVE;karva;;;
verb_norming_oral_input;2018_Jun_18_0953;907;4;2.23066425334;klämma;SQUEEZE;klämma;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;5;2.43214338348;nypa;PINCH;nypa;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;6;2.59991102145;vada;WADE;vada;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;7;3.38807173758;gripa tag i;GRAB;ta tag;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;8;2.39868634152;fly;FLEE;fly;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;9;1.89556754843;knacka;KNOCK;knacka;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;10;2.83472589509;skära;CUT;skära;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;11;1.61043712097;slänga;TOSS;slänga;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;12;2.06306532693;rusa;FLIT;gå långsamt;0;;
verb_norming_oral_input;2018_Jun_18_0953;907;13;1.67745630391;stampa;STOMP;stampa;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;14;2.65023803343;klösa;CLAW;riva;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;15;1.44263234276;skala;PEEL;skala;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;16;1.86202713846;röra sig långsamt framåt;INCH;krypa;0;;
verb_norming_oral_input;2018_Jun_18_0953;907;17;1.99608763044;polera;POLISH;polera;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;18;3.08628469897;åka skridskor;SKATE;skejta;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;19;2.3987294084;vika ihop;FOLD;vika;1;;
verb_norming_oral_input;2018_Jun_18_0953;907;20;2.33142337631;rengöra;CLEAN;städa;1;;
