expName;date;participant;trial;resp_time;our_transl;verb;ppt_translation;score;;
verb_norming_oral_input;2018_Jun_13_1344;905;58;1.17469795022;slå på/av;SWITCH;byta;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;59;49.9443744007;snubbla;STUMBLE;råka;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;60;7.51414741539;åka skridskor;SKATE;skejta, åka skridskor;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;61;8.16832328641;gå uppför;MOUNT;hoppa upp på ngt och sätta sig på det;;;
verb_norming_oral_input;2018_Jun_13_1344;905;62;5.66938869368;skrubba;SCRUB;skrubba;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;63;10.4994395401;dunka;DUNK;dunka en basketboll in i ett mål;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;64;1.97989930291;dra;PULL;dra ;;;
verb_norming_oral_input;2018_Jun_13_1344;905;65;11.187021352;svassa;STRUT;gå på ett visst sätt;0;;
verb_norming_oral_input;2018_Jun_13_1344;905;66;4.91464849067;knacka;KNOCK;slå, knacka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;67;2.26480655341;gripa tag i;GRAB;fånga, ta tag i;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;68;2.36552695285;fånga;CATCH;fånga;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;69;2.55002751924;smälla till;SLAP;slå ngn med handflatan;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;70;4.73028147061;studsa;BOUNCE;studsa;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;71;1.35934194062;stampa;STOMP;stampa;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;72;1.19158405299;rengöra;CLEAN;rengöra;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;73;5.63602265862;slå;BASH;slå ngt jättehårt med nånting;?;;
verb_norming_oral_input;2018_Jun_13_1344;905;74;4.15938911645;rycka;TUG;dra, rycka;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;75;2.85174343144;snubbla;TRIP;ramla, snubbla;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;76;1.17466476119;skumma;SKIM;skumma;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;77;1.1581899653;fly;FLEE;fly;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;78;1.22467351283;nypa;PINCH;nypa;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;79;1.12455802291;marschera;MARCH;marschera;1;;
verb_norming_oral_input;2018_Jun_13_1344;905;80;46.7078089434;hasa;SLITHER;I can't find the translation, it's how a snake gets from point a to point b;;;
