"expName","date","participant","trial","verb","translation","Score","verb_category","cognate_bin","cognate","in_orig"
"verb_norming_oral_input","2018_Sep_07_1244",800,52,"tiptoe","tassa, gå på tå",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,53,"clutch","haka fast, koppla ihop",0,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,54,"braid","fläta",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,55,"brush","borsta",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,56,"pluck","plocka",1,"arm",1,"plocka","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,57,"pace","vagga av och an, gå fram och tillbaka",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,58,"carve","karva, tälja",1,"arm",1,"karva","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,59,"wrap","slå in",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,60,"gesture","gestikulera",1,"arm",1,"gestikulera","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,61,"scoop","skyffla",1,"arm",1,"skopa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,62,"run","springa",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,63,"grasp","gripa tag i, greppa",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,64,"wobble","vingla",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,65,"hike","gå på tur, vandra",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,66,"strut","strutta",1,"leg",1,"strutta","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,67,"punch","slå till",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,68,"pull","dra",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,69,"walk","gå",1,"leg",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,70,"pinch","nypa",1,"arm",0,"","no"
"verb_norming_oral_input","2018_Sep_07_1244",800,71,"grate","riva",1,"arm",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,72,"stomp","stampa",1,"leg",1,"stampa","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,73,"mount","gå uppför, kliva upp på",1,"leg",0,"","yes"
"verb_norming_oral_input","2018_Sep_07_1244",800,74,"stagger","stappla",1,"leg",0,"","no"
