"type","word1","word2","word3","word4"
"arm","grip","pat","chop","scoop"
"arm","toss","whip","bind","scrape"
"leg","flee","kick","creep","slither"
"arm","nip","stab","clutch","dunk"
"leg","inch","kneel","hike","trip"
"arm","peel","delve","clap","scrub"
"leg","run","climb","roll","skate"
"leg","tiptoe","prance","bounce","tread"
"arm","switch","click","file","knock"
"leg","mount","traipse","wobble","trek"
"leg","limp","stray","trudge","pace"
"arm","claw","catch","grasp","shake"
"arm","punch","cut","seize","bash"
"leg","crawl","stamp","stride","wander"
"leg","jump","glide","stumble","stroll"
"arm","wash","lift","clean","snatch"
"leg","hop","sway","plod","sneak"
"arm","hack","grab","braid","grate"
"leg","ramble","stagger","dance","jog"
"arm","skim","wrap","pull","brush"
"arm","scratch","poke","push","pinch"
"arm","tug","stir","rub","slap"
"leg","trot","slip","walk","wade"
"leg","march","roam","rush","strut"
"leg","leap","scuff","stomp","flit"
"arm","wipe","throw","squeeze","carve"
"leg","slide","step","sprint","skip"
"arm","fold","dig","twine","polish"
