"type","word1","word2","word3","word4"
"arm","pinch","bash","scrub","click"
"arm","twine","toss","pat","pull"
"arm","slap","scoop","squeeze","switch"
"leg","skate","traipse","climb","glide"
"arm","dunk","scratch","whip","dig"
"arm","snatch","cut","file","bind"
"leg","flit","trek","sway","skip"
"arm","catch","fold","clutch","lift"
"leg","strut","leap","stamp","trot"
"leg","jog","sneak","stroll","tread"
"arm","stir","shake","seize","clean"
"leg","plod","roll","ramble","hike"
"leg","stray","slither","limp","stagger"
"leg","wander","wobble","slip","pace"
"arm","chop","hack","skim","wrap"
"leg","sprint","trudge","bounce","kick"
"arm","punch","carve","grab","grip"
"arm","nip","poke","throw","tug"
"leg","inch","jump","tiptoe","trip"
"leg","mount","stumble","roam","run"
"arm","brush","grate","clap","claw"
"arm","delve","push","grasp","peel"
"leg","flee","crawl","prance","rush"
"arm","wipe","braid","wash","polish"
"leg","walk","step","creep","wade"
"arm","rub","scrape","knock","stab"
"leg","march","kneel","hop","stomp"
"leg","scuff","dance","slide","stride"
