"word","target","distrOne","distrTwo","corrAns","w1","w2","w3"
"BASH","slå","knuffa","trycka",3,"trycka","knuffa","slå"
"BIND","binda","linda","vinda",3,"linda","vinda","binda"
"BOUNCE","studsa","dunka","kasta",3,"dunka","kasta","studsa"
"BRAID","fläta","knyta","binda",1,"fläta","binda","knyta"
"BRUSH","borsta","skrubba","putsa",1,"borsta","putsa","skrubba"
"CARVE","tälja","hacka","riva",3,"hacka","riva","tälja"
"CATCH","fånga","krama","omfamna",1,"fånga","krama","omfamna"
"CHOP","hacka","tälja","riva",2,"tälja","hacka","riva"
"CLAP","klappa","knäppa","klämma",1,"klappa","knäppa","klämma"
"CLAW","klösa","nypa","rispa",2,"nypa","klösa","rispa"
"CLEAN","rengöra","rensa","plocka",3,"rensa","plocka","rengöra"
"CLICK","klicka","klappa","klämma",2,"klappa","klicka","klämma"
"CLIMB","klättra","kliva","krypa",3,"kliva","krypa","klättra"
"CLUTCH","gripa tag i","sätta ihop","dra ut",1,"gripa tag i","dra ut","sätta ihop"
"CRAWL","kravla","huka","klättra",2,"klättra","kravla","huka"
"CREEP","krypa","knäböja","klättra",3,"knäböja","klättra","krypa"
"CUT","skära","sticka","spetsa",2,"spetsa","skära","sticka"
"DANCE","dansa","snurra","svänga",3,"snurra","svänga","dansa"
"DELVE","gräva","plöja","rensa",1,"gräva","plöja","rensa"
"DIG","gräva","dränera","dika",1,"gräva","dika","dränera"
"DUNK","dunka","dumpa","dunsa",1,"dunka","dunsa","dumpa"
"FILE","fila","putsa","riva",3,"riva","putsa","fila"
"FLEE","fly","lyfta","flyga",3,"flyga","lyfta","fly"
"FLIT","rusa","hasa","svassa",3,"hasa","svassa","rusa"
"FOLD","vika ihop","knyta ihop","bunta ihop",3,"bunta ihop","knyta ihop","vika ihop"
"GLIDE","glida","hasa","snava",3,"hasa","snava","glida"
"GRAB","gripa tag i","fästa ihop","smälla till",3,"smälla till","fästa ihop","gripa tag i"
"GRASP","gripa","klämma","omfamna",3,"omfamna","klämma","gripa"
"GRATE","riva","hugga","rispa",3,"hugga","rispa","riva"
"GRIP","gripa om","hålla om","kasta om",2,"kasta om","gripa om","hålla om"
"HACK","hacka","skära","kåpa",2,"kåpa","hacka","skära"
