"type","word1","word2","word3","word4"
"arm","stir","catch","knock","bind"
"arm","snatch","throw","slap","toss"
"arm","wash","switch","peel","braid"
"leg","wade","stagger","traipse","tiptoe"
"leg","roll","stumble","walk","crawl"
"leg","trip","inch","ramble","skate"
"arm","stab","squeeze","scrub","claw"
"arm","lift","polish","scratch","wrap"
"arm","file","carve","chop","fold"
"leg","stray","trek","scuff","skip"
"arm","seize","scoop","whip","twine"
"arm","bash","scrape","rub","click"
"leg","jump","creep","kneel","strut"
"arm","brush","hack","wipe","pinch"
"arm","grip","poke","pat","punch"
"leg","leap","run","sprint","bounce"
"leg","stride","sneak","tread","hike"
"arm","grate","grasp","dunk","cut"
"leg","trudge","jog","stroll","mount"
"leg","roam","dance","flit","step"
"arm","dig","shake","push","pull"
"arm","clean","nip","clap","grab"
"leg","slither","glide","plod","prance"
"leg","stamp","flee","limp","rush"
"arm","clutch","tug","skim","delve"
"leg","kick","climb","wander","slide"
"leg","pace","sway","slip","trot"
"leg","hop","march","stomp","wobble"
