"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,28,"dance","leg","Arm",2,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,28,"dance","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,29,"fold","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,29,"fold","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,30,"push","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,30,"push","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,31,"wander","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,31,"wander","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,32,"shake","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,32,"shake","arm","Leg",3,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,33,"sway","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,33,"sway","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,34,"click","arm","Arm",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,34,"click","arm","Leg",1,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,35,"limp","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,35,"limp","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,36,"throw","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,36,"throw","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,37,"nip","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,37,"nip","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,38,"straddle","leg","Arm",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,38,"straddle","leg","Leg",5,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,39,"sprint","leg","Arm",1,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,39,"sprint","leg","Leg",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,40,"dunk","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,40,"dunk","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,41,"wipe","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,41,"wipe","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,42,"saunter","leg","Arm",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,42,"saunter","leg","Leg",4,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,43,"traipse","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,43,"traipse","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,44,"kick","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,44,"kick","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,45,"lift","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,45,"lift","arm","Leg",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,46,"chop","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,46,"chop","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,47,"jog","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,47,"jog","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,48,"stab","arm","Arm",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,48,"stab","arm","Leg",1,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,49,"hop","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,49,"hop","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,50,"creep","leg","Arm",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,50,"creep","leg","Leg",6,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,51,"claw","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,51,"claw","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,52,"tiptoe","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,52,"tiptoe","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,53,"clutch","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,53,"clutch","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,54,"braid","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,54,"braid","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,55,"brush","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,55,"brush","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,56,"pluck","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,56,"pluck","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,57,"pace","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,57,"pace","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,58,"carve","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,58,"carve","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,59,"wrap","arm","Arm",7,"june+sept"
