TimeDate,Age,Sex,SwedishStatus,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,,be,gestikulera,klappa,rota,ragla,rycka,snubbla,pinna,smaka,skynda,skära,skälla,knivhugga,stiga,daska,morra,putta,slipa,springa,knycka,vandra,borsta,vada,skrubba,dunka,trampa,bulta,vira,svabba,piska,hacka,skutta,lunka,banka,gråta,krama,skina,snärta,halka,svassa,ta,trippa,skrida,kliva,skrika,träda,viska,svaja,skyffla,fly,fråga,klicka,gå,promenera,jama,överraska,traska,sjunga,rafsa,störa,uppmuntra,underhålla,trumma,kräva,vingla,slunga,bråka,badda,stega,skrämma,berätta,knäa,grabba,fila,marschera,läsa,skräna,gripa,rista,linda,prata,vika,varna,stövla,ränna,skala,kvittra,vanka,smeka,se,putsa,glimma,trösta,pilla,tvätta,klippa,stå,torka,diskutera,föreslå,känna,plocka,greppa,sucka,löpa,gnugga,kasta,kila,flanera,nypa,jogga,skejta,slå,klösa,sno,hissa,hoppa,ströva,skura,knacka,karva,lukta,tvinna,glida,ila,gräva,anmäla,snava,släntra,ösa,norpa,fånga,tåga,sleva,signera,knalla,spraka,smyga,knata,höra,peta,cykla,fläta,hota,hiva,stappla,polera,donera,sammanfatta,rusa,vackla,sparka,repa,linka,tassa,halta,sälja,stampa,bjuda,strutta,Har du några kommentarer kring uppgifterna? Skriv gärna i fältet nedan.
2019/05/09 5:31:57 em EET,33,Kvinna,Mitt enda modersmål,2,3,5,4,3,4,5,2,6,2,7,6,6,4,6,7,7,7,5,4,6,4,3,7,5,6,4,3,4,6,5,4,2,2,2,6,2,4,5,1,4,3,2,4,4,1,3,2,6,2,4,3,7,5,7,5,2,7,3,3,4,4,7,2,3,1,1,6,4,1,2,4,3,7,7,4,2,4,5,3,3,6,2,5,1,7,7,3,4,7,6,1,7,4,4,7,2,2,4,3,2,6,5,1,5,3,5,1,3,2,5,5,7,4,6,6,4,3,1,5,2,7,5,2,2,6,1,5,2,2,1,4,4,5,3,2,4,4,3,3,4,7,7,2,1,3,7,2,1,5,3,6,7,2,2,3,1,7,5,2,,6,4,1,1,1,1,4,1,4,5,3,6,7,1,1,5,4,1,4,1,3,5,1,1,1,4,6,1,1,1,1,1,1,6,6,7,3,2,4,1,5,1,1,1,7,1,4,1,1,6,4,5,4,4,1,5,1,6,1,5,6,4,1,6,2,1,7,1,1,4,5,1,1,1,6,4,6,1,1,1,4,1,6,1,1,1,1,1,6,5,1,1,6,1,1,1,1,1,6,5,6,1,1,5,1,1,5,1,1,1,4,1,6,4,1,1,1,1,1,5,2,5,1,1,1,1,6,1,1,1,1,1,1,1,3,1,1,4,1,4,4,2,2,7,1,1,1,6,4,4,1,7,1,3,1,1,4,2,5,1,,4,4,2,2,1,3,2,4,5,3,3,1,1,4,2,2,1,4,3,4,4,4,4,2,2,2,2,4,3,1,4,3,4,2,2,7,6,1,2,3,4,3,2,4,1,4,3,2,3,4,7,4,4,4,2,6,4,4,3,2,6,6,4,2,2,2,1,4,4,2,4,3,4,4,1,6,2,1,3,4,4,4,2,2,2,4,5,3,7,4,5,7,7,2,4,4,4,5,7,6,4,4,4,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,4,4,3,4,4,4,2,2,2,3,4,4,3,4,2,3,4,4,4,2,4,4,2,4,7,1,4,4,4,7,4,2,2,1,2,2,2,2,5,3,4,4,
2019/05/08 3:33:27 em EET,36,Kvinna,Mitt enda modersmål,6,6,6,5,3,4,5,4,7,6,5,7,7,5,4,7,5,6,7,5,6,6,4,5,6,6,6,5,6,6,4,5,5,5,7,7,5,4,6,3,6,5,3,5,7,3,6,6,3,7,5,6,7,6,7,6,4,7,3,7,7,6,6,5,5,4,7,4,3,7,3,5,3,5,7,7,5,6,5,5,7,5,7,3,5,5,6,3,7,6,5,5,7,5,7,6,7,6,5,3,5,5,5,7,7,5,7,5,3,5,6,6,7,6,5,6,7,3,5,6,5,6,4,5,4,6,6,3,5,5,5,7,5,4,6,5,4,6,3,6,4,7,7,7,5,4,7,5,5,5,4,6,3,3,6,5,4,4,6,4,,3,3,6,3,3,3,2,1,5,6,5,6,7,5,7,4,1,1,6,6,4,3,1,2,1,2,6,1,1,7,2,3,1,3,6,7,1,4,4,2,1,2,2,1,5,1,5,1,2,5,2,1,4,5,4,6,2,6,2,5,4,2,3,5,3,1,7,6,1,5,5,5,1,1,6,7,2,5,1,1,5,1,3,3,1,2,4,1,6,3,1,5,6,7,5,2,1,1,3,2,4,5,1,5,2,1,4,1,1,5,5,1,7,5,6,1,5,2,2,4,1,5,1,1,1,4,3,1,1,1,1,5,1,2,1,1,4,5,1,2,1,3,2,6,5,4,1,5,1,3,1,4,1,1,1,2,4,5,5,1,,5,5,6,3,3,3,2,4,6,3,3,3,1,2,3,3,3,3,3,3,6,5,3,3,4,3,3,3,3,1,3,5,3,3,3,7,7,2,3,3,4,5,3,4,3,4,5,4,3,2,5,4,4,7,5,5,5,7,3,3,6,5,5,2,3,3,3,5,4,3,6,1,3,3,1,7,2,5,5,5,5,4,3,3,3,5,5,3,6,5,5,7,5,1,4,5,5,3,5,5,6,7,3,2,3,5,3,3,3,2,5,3,2,3,2,5,5,5,3,5,3,6,4,5,3,4,3,3,3,4,3,5,3,3,4,3,2,5,3,4,2,6,6,1,3,3,5,5,5,3,3,3,4,3,5,3,3,3,6,2,
2019/05/20 12:53:29 em EET,36,Kvinna,Mitt enda modersmål,6,7,7,7,6,7,7,5,7,6,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,6,7,6,7,7,6,6,7,7,7,6,7,7,5,7,7,7,7,7,5,7,6,6,7,4,7,7,7,6,6,7,7,7,6,5,5,7,5,7,6,6,7,6,7,7,6,6,7,6,7,7,7,7,6,7,7,7,6,5,7,6,6,7,7,7,5,7,7,7,6,7,7,7,4,6,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,6,7,3,7,5,7,7,7,5,7,7,6,5,7,6,7,7,7,7,6,6,7,7,6,3,7,7,7,6,6,7,6,5,7,6,5,,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,2,3,1,1,1,1,4,1,1,1,1,6,1,1,1,4,5,4,1,1,1,1,2,3,2,3,1,1,2,1,1,1,2,2,1,1,4,1,4,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Det var svårt att veta om du i sista frågan ville att jag skulle svara på mina känslor kring verben (som det stod) eller de händelser de beskriver. I nästan alla fall valde jag spontant att bedöma själva ordet, och då blev det neutralt, men i några få fall steg det ordet representerar fram mer i mitt medvetande och då fick ordet ett annat omdöme."
2019/05/10 10:21:37 fm EET,37,Kvinna,Mitt enda modersmål,6,4,7,3,4,6,7,2,4,4,7,7,7,1,5,7,7,6,7,6,7,7,7,6,7,7,5,3,7,7,6,7,2,5,7,7,4,3,7,5,7,6,5,7,7,1,7,3,5,2,2,7,7,7,7,4,7,7,5,3,1,3,7,2,7,6,5,5,5,7,4,7,3,6,7,7,2,5,3,7,7,7,3,3,2,1,3,4,6,6,7,7,3,4,7,7,7,7,7,1,2,7,4,4,6,7,7,3,2,7,7,7,7,7,4,4,7,3,6,7,6,7,7,4,2,7,4,6,2,7,5,7,2,4,6,3,4,7,7,7,7,7,7,4,2,7,6,2,2,7,2,7,2,6,4,7,3,7,4,3,,4,5,4,3,2,1,1,1,2,1,4,5,5,1,4,4,1,1,1,2,3,1,2,2,2,1,1,1,2,5,1,1,1,1,5,6,1,4,1,2,1,1,1,1,5,2,1,1,1,3,1,1,1,1,2,3,1,4,1,6,3,1,1,4,1,1,5,3,1,3,1,2,1,1,4,4,5,1,1,1,1,1,5,2,1,1,5,1,6,1,1,2,6,1,1,1,1,1,3,1,4,1,1,3,1,1,1,1,1,4,2,1,6,4,2,1,1,1,2,1,1,3,1,1,3,1,1,1,3,1,3,2,3,1,1,1,4,1,1,1,1,1,1,5,1,2,2,1,1,1,1,3,3,3,1,3,2,1,1,3,,4,4,6,3,3,4,2,4,5,3,4,2,1,4,2,1,3,4,4,2,5,4,4,4,4,4,3,4,3,1,4,5,4,4,3,7,5,1,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,5,4,6,4,7,4,2,6,6,4,4,4,4,2,5,4,1,6,3,4,4,1,7,2,4,3,4,6,4,5,2,4,4,7,4,7,5,4,6,7,4,4,4,4,4,5,5,7,4,4,3,4,4,4,4,6,2,4,5,2,2,2,5,4,6,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,6,4,4,6,4,6,5,1,4,4,4,6,4,4,4,4,2,4,4,4,4,4,6,3,
2019/05/08 4:57:20 em EET,38,Kvinna,Mitt enda modersmål,3,7,3,7,6,5,7,5,6,5,7,5,6,2,7,5,7,6,5,3,7,5,7,7,4,6,6,3,6,7,7,5,4,6,7,6,6,7,7,7,2,7,4,6,6,2,7,5,5,7,2,3,3,6,7,4,4,7,6,4,5,4,5,7,5,7,5,7,7,5,2,6,5,7,7,7,6,3,7,6,4,6,4,5,4,6,7,5,5,2,6,3,6,6,6,6,5,6,4,3,2,5,5,5,6,5,6,4,7,7,7,7,2,7,3,7,5,7,6,7,7,6,7,6,6,7,2,6,3,7,3,4,3,5,6,5,7,5,5,2,5,7,7,6,7,5,7,5,2,6,3,7,3,6,6,7,6,4,2,4,,5,4,2,5,3,3,3,2,3,3,5,5,4,2,3,3,3,3,2,2,2,3,2,2,4,2,3,2,2,4,3,5,2,4,3,2,2,3,3,2,3,2,2,3,5,3,2,4,4,6,2,2,2,2,2,3,3,2,3,3,2,2,2,5,2,2,4,2,2,5,2,4,3,2,4,2,4,5,4,2,2,2,3,2,4,3,3,2,3,2,2,3,5,3,3,3,2,2,2,2,3,2,3,2,2,2,3,2,3,4,2,2,4,4,4,2,2,2,3,2,3,3,2,2,3,3,2,2,2,5,3,2,2,2,2,2,2,2,2,5,3,2,2,5,2,2,2,4,2,3,3,4,3,2,3,4,3,3,2,2,,5,4,4,3,3,3,3,4,4,3,4,2,2,4,2,3,4,4,4,4,4,4,4,4,3,3,3,4,4,2,3,6,2,3,3,5,5,4,4,4,4,4,4,4,3,4,4,3,4,2,4,4,4,5,4,4,3,4,3,3,5,4,4,3,3,4,2,4,4,2,4,4,4,3,3,4,1,4,3,4,4,4,3,3,4,4,4,4,6,4,5,5,5,4,4,4,4,4,4,4,5,4,4,2,4,5,3,4,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,5,4,3,4,4,4,5,3,3,5,4,4,4,4,4,5,4,4,4,4,2,4,4,4,5,4,4,3,3,4,4,4,3,4,3,5,4,
2019/05/12 8:31:54 em EET,38,Kvinna,Mitt enda modersmål,7,5,7,6,6,5,6,4,7,6,6,5,7,1,5,7,5,4,7,4,7,6,4,5,2,6,6,3,5,5,7,6,5,6,7,7,4,3,6,3,5,6,2,4,7,2,7,3,5,6,6,5,6,7,7,2,5,7,6,5,2,2,7,5,6,3,7,3,5,6,4,5,4,6,6,7,5,6,6,5,5,5,3,5,3,6,5,3,5,6,5,2,6,5,7,5,7,5,6,2,2,5,3,7,5,5,7,3,3,6,7,3,6,6,5,5,7,6,6,7,5,6,4,4,5,6,2,6,2,5,5,5,3,2,6,5,7,6,3,4,5,7,7,7,4,5,4,4,4,6,4,7,2,6,5,6,6,7,4,3,,1,1,1,2,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,1,6,5,1,3,1,1,1,1,1,1,2,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,4,1,,4,5,5,3,4,4,3,4,6,2,3,3,1,4,4,2,3,2,4,4,7,4,4,4,2,4,7,4,5,2,4,6,5,3,3,7,7,2,3,4,3,4,5,4,4,4,4,5,3,3,4,4,4,4,7,3,7,7,2,2,6,5,4,4,4,4,3,4,4,2,7,1,2,4,5,7,4,4,4,4,4,6,4,6,4,4,5,4,5,7,7,6,5,5,5,5,4,3,3,4,4,3,4,2,4,4,4,4,4,4,4,4,3,4,2,4,5,6,4,4,4,4,6,5,4,5,4,4,4,6,4,3,4,7,4,6,6,4,4,4,3,7,7,2,7,4,4,6,4,3,4,2,4,3,4,3,3,4,6,7,
2019/05/14 2:17:01 em EET,40,Kvinna,Mitt enda modersmål,7,7,7,7,6,7,7,5,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,6,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,6,5,7,5,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,5,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,,1,1,3,1,7,1,1,1,4,3,7,4,7,1,5,5,1,1,1,6,1,1,1,1,1,1,1,1,1,5,6,1,1,1,6,7,1,5,4,1,1,1,1,1,7,1,1,1,1,4,1,1,1,1,1,5,1,7,3,6,4,1,1,1,1,1,4,3,1,5,1,1,1,1,3,1,4,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,3,1,2,1,1,4,1,1,4,1,1,7,1,1,7,5,5,1,1,1,1,1,1,3,2,1,1,1,6,1,1,1,4,3,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,3,1,1,1,7,1,1,1,1,3,1,2,1,,4,4,6,2,1,4,4,4,6,3,3,1,1,6,2,2,4,4,5,2,6,4,3,4,4,4,3,4,3,2,4,5,4,4,1,7,6,2,2,2,4,4,4,4,2,4,4,3,4,2,4,4,4,6,4,6,4,7,2,1,6,6,4,2,3,4,1,5,4,2,4,1,3,4,3,5,2,4,3,4,4,4,4,4,4,4,4,3,5,4,4,6,6,4,4,4,4,4,4,4,4,4,4,2,4,4,5,5,6,2,4,3,4,1,3,4,4,4,4,4,3,5,4,4,2,5,2,4,3,4,2,4,3,3,4,4,5,4,4,4,4,4,4,1,4,3,4,7,4,3,3,1,4,4,4,2,5,3,6,4,
2019/05/08 1:42:08 em EET,43,Kvinna,Mitt enda modersmål,6,6,5,5,7,2,6,6,3,6,5,5,7,5,5,5,6,6,5,5,3,6,3,5,7,5,4,3,3,4,5,6,4,6,6,3,5,4,6,4,2,5,7,3,4,2,7,6,6,4,2,6,3,3,5,6,4,7,6,2,6,3,6,4,5,7,6,7,5,6,2,6,5,7,6,2,6,5,5,4,3,2,4,4,3,6,6,5,6,2,6,4,5,6,3,3,3,2,3,2,2,4,4,6,6,3,2,5,5,7,7,5,4,5,4,2,6,4,6,5,2,4,3,5,2,5,2,5,6,4,4,6,4,6,3,3,6,6,6,2,6,7,5,5,6,6,7,3,2,7,6,7,7,5,3,5,3,5,2,6,,7,4,7,3,4,6,6,2,6,7,7,7,7,3,5,5,5,3,6,3,3,6,6,4,5,6,6,4,4,7,6,4,4,6,7,7,4,6,6,1,6,1,4,5,7,3,7,5,3,7,6,2,4,5,4,5,3,6,4,5,5,4,7,7,4,5,6,3,4,6,7,6,2,4,6,6,2,6,6,6,5,5,1,1,1,4,4,1,7,5,4,3,6,4,4,2,4,4,6,6,7,5,6,5,5,5,4,3,1,6,4,3,6,6,4,5,5,3,3,6,6,5,3,5,3,7,6,2,1,6,4,5,5,4,4,2,7,7,3,6,5,5,3,6,5,2,3,4,6,6,4,6,3,1,2,6,4,5,5,3,,4,5,7,4,4,2,2,4,5,2,4,3,1,4,1,1,4,4,6,3,6,5,4,5,4,1,3,4,5,1,4,5,5,6,6,7,5,4,2,4,3,4,5,4,2,5,2,3,4,2,7,6,5,6,7,6,5,7,4,3,7,4,7,3,2,4,2,4,4,4,6,3,4,4,4,6,4,3,5,6,7,5,6,4,4,5,6,4,7,7,4,4,6,3,5,4,5,5,6,6,6,5,3,3,4,4,5,4,4,2,6,5,1,4,2,4,4,4,5,4,4,3,4,5,4,4,6,4,4,6,2,3,4,4,5,4,4,5,4,7,3,6,5,1,6,2,4,7,6,4,3,2,4,4,3,2,5,2,6,4,Intressant att känna efter känslor på ord
2019/05/20 4:56:31 em EET,43,Man,Mitt enda modersmål,5,4,6,4,6,5,5,2,4,6,5,6,6,2,4,4,4,5,4,3,5,5,5,5,6,5,5,4,5,4,5,4,3,6,5,7,5,6,4,2,3,5,4,6,5,5,4,5,4,4,5,5,4,4,4,3,4,6,5,1,2,5,6,3,5,5,4,4,6,3,3,5,4,5,6,3,4,5,3,5,7,5,3,3,1,5,6,4,6,3,4,5,3,3,7,6,2,6,5,3,3,4,4,6,5,5,6,1,2,5,5,4,5,6,3,2,6,5,6,5,5,3,5,5,6,5,1,6,3,5,3,4,3,6,6,3,5,6,3,3,6,6,4,4,6,5,5,1,1,6,5,5,3,5,4,6,2,6,2,4,,1,1,2,5,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1,2,3,4,5,1,1,1,1,1,1,5,3,1,1,5,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,5,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,4,1,3,1,4,1,1,1,1,3,1,1,5,2,1,1,1,1,3,5,2,1,1,2,1,1,1,1,1,2,1,1,5,1,2,1,1,1,1,4,1,1,1,2,1,1,3,1,2,5,1,1,1,1,1,5,6,1,6,5,1,2,1,3,1,1,2,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,5,1,3,,3,7,5,3,3,1,4,4,4,3,4,4,4,4,6,2,5,5,5,3,4,6,1,5,5,5,6,4,5,5,3,5,5,6,3,5,3,5,3,3,4,2,4,2,1,4,3,3,3,3,4,2,4,4,1,4,2,4,3,3,6,3,1,3,3,6,2,5,4,5,4,5,3,4,6,4,3,4,3,4,4,5,4,3,5,4,6,2,5,4,5,4,5,2,6,4,4,4,5,4,4,5,4,3,4,1,6,4,5,1,4,5,4,1,3,4,4,3,5,3,3,2,2,5,5,5,3,2,3,7,7,5,7,5,5,5,5,5,5,4,3,5,4,4,6,2,5,4,5,5,3,3,4,1,5,1,5,5,4,5,
2019/05/20 4:20:52 em EET,45,Kvinna,Ett av mina modersmål,7,7,6,6,4,7,6,5,7,5,7,5,5,5,6,3,5,6,5,4,3,5,6,5,7,5,6,5,5,4,6,7,2,7,6,6,6,7,7,7,3,4,4,7,6,3,7,7,7,6,6,7,4,5,4,5,6,7,5,7,5,5,5,7,7,6,6,6,5,5,5,5,6,5,7,6,4,7,5,3,6,7,6,5,1,6,5,4,7,7,7,1,5,7,5,5,3,6,6,2,7,7,5,7,4,5,6,4,5,5,5,3,7,4,7,5,6,3,5,7,5,6,2,7,4,7,5,7,3,3,5,7,5,2,5,2,3,7,3,6,7,5,7,7,5,6,6,5,2,5,3,6,5,2,6,6,4,5,7,3,,6,4,6,2,1,6,6,2,7,5,4,5,7,6,3,1,5,1,6,5,5,2,1,3,5,1,5,1,3,5,3,5,2,7,6,7,6,6,6,1,5,5,1,1,6,1,4,5,2,6,5,3,5,6,1,7,2,5,1,5,7,7,5,7,6,3,7,1,2,7,6,5,1,2,1,5,1,5,2,2,7,6,6,2,3,2,2,2,5,7,2,1,6,3,3,5,7,1,7,1,7,3,5,4,6,2,5,4,1,2,6,2,7,3,6,1,2,1,2,3,2,6,2,2,1,3,5,5,1,4,7,4,3,3,2,2,3,3,5,7,5,7,1,7,2,5,6,5,3,5,4,7,6,1,1,5,7,2,6,2,,1,6,5,3,2,2,4,4,7,3,5,3,1,6,3,3,1,3,6,1,6,4,4,3,3,4,1,4,4,3,5,5,5,2,2,7,6,2,2,4,3,3,4,2,1,5,4,2,3,1,5,5,5,5,5,7,5,7,3,2,7,7,7,3,3,2,2,4,4,2,7,2,3,4,3,6,2,3,2,5,7,4,2,3,3,4,6,4,6,7,3,5,6,4,4,1,6,3,6,6,7,5,3,3,6,4,4,5,4,3,6,4,2,3,1,5,5,5,3,4,3,5,4,6,3,4,3,2,3,5,3,4,4,4,5,5,2,4,5,7,2,7,4,1,5,2,5,5,4,3,2,1,3,3,4,3,6,3,6,3,
2019/05/07 12:52:27 em EET,46,Man,Mitt enda modersmål,1,4,3,4,7,4,5,2,2,2,3,5,4,2,5,6,3,2,3,3,2,2,3,4,4,3,4,2,5,4,2,5,4,5,6,5,4,5,5,6,1,6,5,3,5,2,5,5,4,3,1,3,1,5,7,2,4,4,3,3,2,2,4,3,6,3,5,3,4,3,2,5,2,3,5,2,4,2,3,2,2,3,3,3,3,4,6,5,5,1,4,4,5,2,2,4,2,3,2,2,2,1,2,6,4,3,3,3,3,6,5,5,2,6,2,3,2,2,5,4,4,4,2,4,3,4,1,4,4,3,5,2,3,3,4,2,6,6,3,1,3,5,4,4,2,7,5,1,1,4,4,4,3,5,4,4,2,4,2,7,,5,2,1,4,6,3,3,2,5,5,2,4,2,1,2,2,3,1,4,1,6,3,3,3,1,1,5,1,2,6,1,2,2,1,5,6,1,5,6,1,2,1,3,1,3,5,1,2,2,1,2,2,1,7,5,5,2,5,3,2,2,2,6,2,2,5,5,3,1,2,6,1,2,1,2,7,5,3,5,1,5,3,6,5,2,2,1,2,7,1,3,2,5,2,2,3,3,1,5,1,2,2,2,4,3,1,2,3,1,3,5,1,2,2,1,1,3,1,1,1,1,5,3,3,1,2,3,1,3,4,1,1,1,2,4,2,4,3,2,3,2,4,4,2,2,3,2,5,1,1,1,1,5,2,5,3,1,1,5,1,,7,3,5,3,2,3,3,4,6,3,5,3,1,4,4,4,3,4,6,2,7,4,4,4,4,4,4,4,4,3,4,4,4,4,3,7,4,3,3,3,3,4,4,4,3,5,5,4,3,3,5,4,5,6,4,5,4,6,5,3,5,4,6,3,4,4,2,4,4,5,5,4,3,4,3,7,2,3,5,4,7,4,3,4,4,4,5,4,7,5,4,4,6,4,4,5,4,4,5,4,5,5,4,4,5,4,5,4,4,3,6,4,3,4,2,4,5,4,3,4,4,4,4,5,4,4,3,3,4,4,2,4,4,4,4,4,6,3,4,5,3,5,6,2,3,4,4,5,4,4,3,3,3,4,4,3,5,4,5,4,Det borde stått något i början (inför första uppgiften) att jag inte skulle ta styrkan av känslan i beaktelse.
