"expName","date","participant","itemID","item","correct_resp","resp","correct","RT","type"
"lextale","2018_Sep_10_1217",801,7,"lofty","y","n",0,2.78433984957,"word"
"lextale","2018_Sep_10_1217",801,8,"hurricane","y","y",1,0.838841238006,"word"
"lextale","2018_Sep_10_1217",801,9,"flaw","y","y",1,1.05687800584,"word"
"lextale","2018_Sep_10_1217",801,10,"alberation","n","n",1,1.1574359874,"nonword"
"lextale","2018_Sep_10_1217",801,11,"unkempt","y","n",0,1.20785346603,"word"
"lextale","2018_Sep_10_1217",801,12,"breeding","y","y",1,0.972864679396,"word"
"lextale","2018_Sep_10_1217",801,13,"festivity","y","y",1,1.79423313688,"word"
"lextale","2018_Sep_10_1217",801,14,"screech","y","n",0,1.59355456619,"word"
"lextale","2018_Sep_10_1217",801,15,"savoury","y","y",1,1.70974409184,"word"
"lextale","2018_Sep_10_1217",801,16,"plaudate","n","n",1,0.805322437638,"nonword"
"lextale","2018_Sep_10_1217",801,17,"shin","y","n",0,0.905951539922,"word"
"lextale","2018_Sep_10_1217",801,18,"fluid","y","y",1,1.24134381811,"word"
"lextale","2018_Sep_10_1217",801,19,"spaunch","n","n",1,0.98982934188,"nonword"
"lextale","2018_Sep_10_1217",801,20,"allied","y","n",0,1.44265457298,"word"
"lextale","2018_Sep_10_1217",801,21,"slain","y","n",0,1.35874674228,"word"
"lextale","2018_Sep_10_1217",801,22,"recipient","y","n",0,2.1971466367,"word"
"lextale","2018_Sep_10_1217",801,23,"exprate","n","n",1,1.44262059308,"nonword"
"lextale","2018_Sep_10_1217",801,24,"eloquence","y","n",0,1.84506983265,"word"
"lextale","2018_Sep_10_1217",801,25,"cleanliness","y","n",0,2.28120145023,"word"
"lextale","2018_Sep_10_1217",801,26,"dispatch","y","y",1,0.88792915428,"word"
"lextale","2018_Sep_10_1217",801,27,"rebondicate","n","n",1,2.73402786668,"nonword"
"lextale","2018_Sep_10_1217",801,28,"ingenious","y","n",0,2.81786734247,"word"
"lextale","2018_Sep_10_1217",801,29,"bewitch","y","n",0,1.02329559194,"word"
"lextale","2018_Sep_10_1217",801,30,"skave","n","n",1,2.48245412318,"nonword"
"lextale","2018_Sep_10_1217",801,31,"plaintively","y","n",0,1.42586297092,"word"
"lextale","2018_Sep_10_1217",801,32,"kilp","n","n",1,0.872402315691,"nonword"
"lextale","2018_Sep_10_1217",801,33,"interfate","n","y",0,1.2916348599,"nonword"
"lextale","2018_Sep_10_1217",801,34,"hasty","y","y",1,1.37546722362,"word"
"lextale","2018_Sep_10_1217",801,35,"lengthy","y","y",1,1.29169096625,"word"
"lextale","2018_Sep_10_1217",801,36,"fray","y","y",1,0.956039887661,"word"
"lextale","2018_Sep_10_1217",801,37,"crumper","n","n",1,1.34200808564,"nonword"
"lextale","2018_Sep_10_1217",801,38,"upkeep","y","n",0,1.22458066433,"word"
"lextale","2018_Sep_10_1217",801,39,"majestic","y","y",1,2.41509845478,"word"
"lextale","2018_Sep_10_1217",801,40,"magrity","n","n",1,1.50973287058,"nonword"
"lextale","2018_Sep_10_1217",801,41,"nourishment","y","y",1,1.32522399076,"word"
"lextale","2018_Sep_10_1217",801,42,"abergy","n","n",1,1.29178579387,"nonword"
"lextale","2018_Sep_10_1217",801,43,"proom","n","y",0,1.0066015833,"nonword"
"lextale","2018_Sep_10_1217",801,44,"turmoil","y","n",0,0.939312689358,"word"
"lextale","2018_Sep_10_1217",801,45,"carbohydrate","y","y",1,1.375581807,"word"
"lextale","2018_Sep_10_1217",801,46,"scholar","y","y",1,0.97298558462,"word"
"lextale","2018_Sep_10_1217",801,47,"turtle","y","y",1,1.00656325714,"word"
"lextale","2018_Sep_10_1217",801,48,"fellick","n","n",1,1.8115802708,"nonword"
"lextale","2018_Sep_10_1217",801,49,"destription","n","n",1,2.83464037413,"nonword"
"lextale","2018_Sep_10_1217",801,50,"cylinder","y","y",1,0.87236359441,"word"
"lextale","2018_Sep_10_1217",801,51,"censorship","y","y",1,1.89558925097,"word"
"lextale","2018_Sep_10_1217",801,52,"celestial","y","n",0,1.40919424965,"word"
"lextale","2018_Sep_10_1217",801,53,"rascal","y","n",0,0.939544621931,"word"
"lextale","2018_Sep_10_1217",801,54,"purrage","n","n",1,2.16386411517,"nonword"
"lextale","2018_Sep_10_1217",801,55,"pulsh","n","n",1,0.989796942441,"nonword"
"lextale","2018_Sep_10_1217",801,56,"muddy","y","y",1,1.30844542749,"word"
"lextale","2018_Sep_10_1217",801,57,"quirty","n","n",1,1.1910681858,"nonword"
"lextale","2018_Sep_10_1217",801,58,"pudour","n","n",1,2.14701601165,"nonword"
"lextale","2018_Sep_10_1217",801,59,"listless","y","n",0,2.54932933161,"word"
"lextale","2018_Sep_10_1217",801,60,"wrought","y","n",0,1.30843436427,"word"
"lextale","2018_Sep_10_1331",802,0,"platery","n","n",1,4.89750042277,"nonword"
"lextale","2018_Sep_10_1331",802,0,"denial","y","y",1,1.77797375487,"word"
"lextale","2018_Sep_10_1331",802,0,"generic","y","y",1,1.42581358153,"word"
"lextale","2018_Sep_10_1331",802,1,"mensible","n","n",1,2.70042372145,"nonword"
"lextale","2018_Sep_10_1331",802,2,"scornful","y","y",1,1.358697748,"word"
"lextale","2018_Sep_10_1331",802,3,"stoutly","y","y",1,1.84517967465,"word"
"lextale","2018_Sep_10_1331",802,4,"ablaze","y","y",1,1.49275358883,"word"
"lextale","2018_Sep_10_1331",802,5,"kermshaw","n","n",1,2.59950420956,"nonword"
"lextale","2018_Sep_10_1331",802,6,"moonlit","y","y",1,1.9960757167,"word"
"lextale","2018_Sep_10_1331",802,7,"lofty","y","y",1,1.45936083018,"word"
"lextale","2018_Sep_10_1331",802,8,"hurricane","y","y",1,1.44263205142,"word"
"lextale","2018_Sep_10_1331",802,9,"flaw","y","y",1,0.805153723486,"word"
"lextale","2018_Sep_10_1331",802,10,"alberation","n","n",1,3.35600661897,"nonword"
"lextale","2018_Sep_10_1331",802,11,"unkempt","y","y",1,2.09673840377,"word"
"lextale","2018_Sep_10_1331",802,12,"breeding","y","y",1,0.821972983609,"word"
"lextale","2018_Sep_10_1331",802,13,"festivity","y","y",1,0.838311783755,"word"
"lextale","2018_Sep_10_1331",802,14,"screech","y","y",1,0.956292761331,"word"
"lextale","2018_Sep_10_1331",802,15,"savoury","y","y",1,0.989745577475,"word"
"lextale","2018_Sep_10_1331",802,16,"plaudate","n","n",1,1.76122719593,"nonword"
"lextale","2018_Sep_10_1331",802,17,"shin","y","y",1,1.6271895304,"word"
"lextale","2018_Sep_10_1331",802,18,"fluid","y","y",1,1.67743276326,"word"
"lextale","2018_Sep_10_1331",802,19,"spaunch","n","n",1,1.07366921279,"nonword"
"lextale","2018_Sep_10_1331",802,20,"allied","y","y",1,1.00659407612,"word"
"lextale","2018_Sep_10_1331",802,21,"slain","y","y",1,0.973036554471,"word"
"lextale","2018_Sep_10_1331",802,22,"recipient","y","y",1,1.25817256099,"word"
"lextale","2018_Sep_10_1331",802,23,"exprate","n","n",1,1.34199228103,"nonword"
"lextale","2018_Sep_10_1331",802,24,"eloquence","y","y",1,1.35866337299,"word"
"lextale","2018_Sep_10_1331",802,25,"cleanliness","y","y",1,1.25818164864,"word"
"lextale","2018_Sep_10_1331",802,26,"dispatch","y","y",1,1.9290495743,"word"
"lextale","2018_Sep_10_1331",802,27,"rebondicate","n","n",1,3.33779615853,"nonword"
"lextale","2018_Sep_10_1331",802,28,"ingenious","y","y",1,1.66057636232,"word"
"lextale","2018_Sep_10_1331",802,29,"bewitch","y","y",1,0.973275203998,"word"
"lextale","2018_Sep_10_1331",802,30,"skave","n","n",1,1.54320662782,"nonword"
"lextale","2018_Sep_10_1331",802,31,"plaintively","y","n",0,4.32730545717,"word"
"lextale","2018_Sep_10_1331",802,32,"kilp","n","n",1,2.19733510661,"nonword"
"lextale","2018_Sep_10_1331",802,33,"interfate","n","n",1,1.87856927237,"nonword"
"lextale","2018_Sep_10_1331",802,34,"hasty","y","y",1,0.754974499272,"word"
"lextale","2018_Sep_10_1331",802,35,"lengthy","y","y",1,0.721467552357,"word"
"lextale","2018_Sep_10_1331",802,36,"fray","y","y",1,0.721507458984,"word"
